language_group,manual_review_flag,manual_review_cues,manual_review_fields,id,node_id,name,full_name,html_url,description,language,stargazers_count,watchers_count,forks_count,open_issues_count,archived,fork,has_issues,private,created_at,updated_at,pushed_at,default_branch,owner_login,owner_type,license_spdx_id,source_file,source_record_index,quality_screen_status,quality_screen_intended_use,quality_screen_pass,quality_screen_score,quality_screen_threshold,quality_screen_failure_reasons,quality_check_not_manual_review_flagged,quality_check_recent_maintenance,quality_check_issue_usage,quality_check_engineering_workflow,quality_recent_push_cutoff_date,quality_open_issues_threshold,quality_signal_has_tests,quality_signal_has_ci,quality_signal_has_community_health_files,quality_signal_matched_test_paths,quality_signal_matched_ci_paths,quality_signal_matched_community_health_paths,quality_tree_truncated,quality_tree_path_count,quality_signal_snapshot_file,quality_screen_error_type,quality_screen_error_message,quality_screen_error_status_code,quality_screen_error_retryable,quality_screen_error_attempts,enrichment_input_file,enrichment_input_record_index,repository_full_name,target_language,language_stats,target_language_bytes,total_language_bytes,target_language_share,language_threshold,language_threshold_pass,default_branch_commit_count_in_window,closed_issue_count_in_window,closed_issue_count_available,enrichment_status,enrichment_failure_reason
JavaScript,False,,,126577260,MDEwOlJlcG9zaXRvcnkxMjY1NzcyNjA=,javascript-algorithms,trekhleb/javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,📝 Algorithms and data structures implemented in JavaScript with explanations and links to further readings,JavaScript,195895,195895,31090,403,False,False,True,False,2018-03-24T07:47:04Z,2026-04-28T18:13:30Z,2026-02-18T09:20:06Z,master,trekhleb,User,MIT,data\raw\candidate_repos\javascript_candidates_raw.json,1,screened,final_sample_only,True,4,3,,True,True,True,True,2025-01-01,5,True,True,True,src/algorithms/cryptography/caesar-cipher/__test__;src/algorithms/cryptography/caesar-cipher/__test__/caesarCipher.test.js;src/algorithms/cryptography/hill-cipher/_test_/hillCipher.test.js;src/algorithms/cryptography/polynomial-hash/__test__;src/algorithms/cryptography/polynomial-hash/__test__/PolynomialHash.test.js;src/algorithms/cryptography/polynomial-hash/__test__/SimplePolynomialHash.test.js;src/algorithms/cryptography/rail-fence-cipher/__test__;src/algorithms/cryptography/rail-fence-cipher/__test__/railFenceCipher.test.js;src/algorithms/graph/articulation-points/__test__;src/algorithms/graph/articulation-points/__test__/articulationPoints.test.js,.github/workflows/CI.yml,CODE_OF_CONDUCT.md;CONTRIBUTING.md,False,940,data\raw\repo_metadata\trekhleb_javascript_algorithms_quality_screen_snapshot.json,,,,,,data\interim\quality_screened_candidates\javascript_candidates_filtered.csv,2,trekhleb/javascript-algorithms,JavaScript,"{""JavaScript"":724990}",724990,724990,1.0,0.7,True,30,16,True,enriched,
JavaScript,False,,,6498492,MDEwOlJlcG9zaXRvcnk2NDk4NDky,javascript,airbnb/javascript,https://github.com/airbnb/javascript,JavaScript Style Guide,JavaScript,148122,148122,26705,159,False,False,True,False,2012-11-01T23:13:50Z,2026-04-28T18:32:59Z,2026-04-16T19:24:09Z,master,airbnb,Organization,MIT,data\raw\candidate_repos\javascript_candidates_raw.json,3,screened,final_sample_only,True,4,3,,True,True,True,True,2025-01-01,5,True,True,True,packages/eslint-config-airbnb-base/test;packages/eslint-config-airbnb-base/test/.eslintrc;packages/eslint-config-airbnb-base/test/requires.js;packages/eslint-config-airbnb-base/test/test-base.js;packages/eslint-config-airbnb/test;packages/eslint-config-airbnb/test/.eslintrc;packages/eslint-config-airbnb/test/requires.js;packages/eslint-config-airbnb/test/test-base.js;packages/eslint-config-airbnb/test/test-react-order.js,.github/workflows/node-pretest.yml;.github/workflows/node.yml;.github/workflows/rebase.yml;.github/workflows/require-allow-edits.yml,CODE_OF_CONDUCT.md,False,76,data\raw\repo_metadata\airbnb_javascript_quality_screen_snapshot.json,,,,,,data\interim\quality_screened_candidates\javascript_candidates_filtered.csv,4,airbnb/javascript,JavaScript,"{""JavaScript"":80502}",80502,80502,1.0,0.7,True,0,108,True,enriched,
JavaScript,False,,,23088740,MDEwOlJlcG9zaXRvcnkyMzA4ODc0MA==,axios,axios/axios,https://github.com/axios/axios,Promise based HTTP client for the browser and node.js,JavaScript,109027,109027,11657,181,False,False,True,False,2014-08-18T22:30:27Z,2026-04-28T18:31:42Z,2026-04-28T17:44:40Z,v1.x,axios,Organization,MIT,data\raw\candidate_repos\javascript_candidates_raw.json,8,screened,final_sample_only,True,4,3,,True,True,True,True,2025-01-01,5,True,True,True,tests;tests/README.md;tests/browser;tests/browser/adapter.browser.test.js;tests/browser/basicAuth.browser.test.js;tests/browser/cancel.browser.test.js;tests/browser/cancelToken.browser.test.js;tests/browser/cookies.browser.test.js;tests/browser/defaults.browser.test.js;tests/browser/formdata.browser.test.js,.github/workflows/lockfile-lint.yml;.github/workflows/moderator.yml;.github/workflows/publish.yml;.github/workflows/release-branch.yml;.github/workflows/run-ci.yml;.github/workflows/update-sponsor-block.yml;.github/workflows/verify-build-reproducibility.yml;.github/workflows/zizmor.yml,.github/PULL_REQUEST_TEMPLATE.md;CODE_OF_CONDUCT.md;CONTRIBUTING.md;SECURITY.md;docs/es/pages/misc/security.md;docs/fr/pages/misc/security.md;docs/pages/misc/security.md;docs/zh/pages/misc/security.md,False,523,data\raw\repo_metadata\axios_axios_quality_screen_snapshot.json,,,,,,data\interim\quality_screened_candidates\javascript_candidates_filtered.csv,8,axios/axios,JavaScript,"{""HTML"":14126,""JavaScript"":726447,""TypeScript"":84966}",726447,825539,0.8799669064695914,0.7,True,301,787,True,enriched,
JavaScript,False,,,63537249,MDEwOlJlcG9zaXRvcnk2MzUzNzI0OQ==,create-react-app,facebook/create-react-app,https://github.com/facebook/create-react-app,Set up a modern web app by running one command.,JavaScript,103467,103467,27080,2378,False,False,True,False,2016-07-17T14:55:11Z,2026-04-28T18:32:27Z,2025-02-15T01:32:11Z,main,facebook,Organization,MIT,data\raw\candidate_repos\javascript_candidates_raw.json,9,screened,final_sample_only,True,4,3,,True,True,True,True,2025-01-01,5,True,True,True,packages/babel-plugin-named-asset-import/index.test.js;packages/cra-template-typescript/template/src/App.test.tsx;packages/cra-template/template/src/App.test.js;packages/create-react-app/__tests__;packages/create-react-app/__tests__/.eslintrc;packages/create-react-app/__tests__/getTemplateInstallPackage.test.js;packages/react-dev-utils/__tests__;packages/react-dev-utils/__tests__/.eslintrc;packages/react-dev-utils/__tests__/getCSSModuleLocalIdent.test.js;packages/react-dev-utils/__tests__/getPublicUrlOrPath.test.js,.github/workflows/build-and-test.yml;.github/workflows/e2e-base.yml;.github/workflows/lint.yml,.github/ISSUE_TEMPLATE/bug_report.md;.github/ISSUE_TEMPLATE/proposal.md;.github/ISSUE_TEMPLATE/question.md;.github/PULL_REQUEST_TEMPLATE.md;CODE_OF_CONDUCT.md;CONTRIBUTING.md;SECURITY.md,False,624,data\raw\repo_metadata\facebook_create_react_app_quality_screen_snapshot.json,,,,,,data\interim\quality_screened_candidates\javascript_candidates_filtered.csv,9,facebook/create-react-app,JavaScript,"{""AppleScript"":2657,""CSS"":4592,""HTML"":3736,""JavaScript"":3050431,""SCSS"":491,""Sass"":200,""Shell"":37454,""TypeScript"":2049}",3050431,3101610,0.9834992149238622,0.7,True,17,53,True,enriched,
JavaScript,True,template,topics,74293321,MDEwOlJlcG9zaXRvcnk3NDI5MzMyMQ==,svelte,sveltejs/svelte,https://github.com/sveltejs/svelte,web development for the rest of us,JavaScript,86443,86443,4897,1004,False,False,True,False,2016-11-20T18:13:05Z,2026-04-28T16:02:32Z,2026-04-28T09:03:59Z,main,sveltejs,Organization,MIT,data\raw\candidate_repos\javascript_candidates_raw.json,13,screened,final_sample_only,True,3,3,,False,True,True,True,2025-01-01,5,True,True,True,benchmarking/benchmarks/reactivity/tests;benchmarking/benchmarks/reactivity/tests/clean_effects.bench.js;benchmarking/benchmarks/reactivity/tests/kairo_avoidable.bench.js;benchmarking/benchmarks/reactivity/tests/kairo_broad.bench.js;benchmarking/benchmarks/reactivity/tests/kairo_deep.bench.js;benchmarking/benchmarks/reactivity/tests/kairo_diamond.bench.js;benchmarking/benchmarks/reactivity/tests/kairo_mux.bench.js;benchmarking/benchmarks/reactivity/tests/kairo_repeated.bench.js;benchmarking/benchmarks/reactivity/tests/kairo_triangle.bench.js;benchmarking/benchmarks/reactivity/tests/kairo_unstable.bench.js,.github/workflows/autofix.yml;.github/workflows/ci.yml;.github/workflows/ecosystem-ci-trigger.yml;.github/workflows/pkg.pr.new.yml;.github/workflows/release.yml,.github/ISSUE_TEMPLATE/bug_report.yml;.github/ISSUE_TEMPLATE/config.yml;.github/ISSUE_TEMPLATE/feature_request.yml;.github/PULL_REQUEST_TEMPLATE.md;CODE_OF_CONDUCT.md;CONTRIBUTING.md,False,12391,data\raw\repo_metadata\sveltejs_svelte_quality_screen_snapshot.json,,,,,,data\interim\quality_screened_candidates\javascript_candidates_filtered.csv,12,sveltejs/svelte,JavaScript,"{""CSS"":54394,""HTML"":21970,""JavaScript"":3291217,""Svelte"":1025939,""TypeScript"":186284}",3291217,4579804,0.7186370857792167,0.7,True,3009,3122,True,enriched,
JavaScript,False,,,278335273,MDEwOlJlcG9zaXRvcnkyNzgzMzUyNzM=,github-readme-stats,anuraghazra/github-readme-stats,https://github.com/anuraghazra/github-readme-stats,:zap: Dynamically generated stats for your github readmes,JavaScript,79190,79190,32660,278,False,False,True,False,2020-07-09T10:34:22Z,2026-04-28T16:24:02Z,2026-03-31T00:50:07Z,master,anuraghazra,User,MIT,data\raw\candidate_repos\javascript_candidates_raw.json,15,screened,final_sample_only,True,4,3,,True,True,True,True,2025-01-01,5,True,True,True,tests;tests/__snapshots__;tests/__snapshots__/renderWakatimeCard.test.js.snap;tests/api.test.js;tests/bench;tests/bench/api.bench.js;tests/bench/calculateRank.bench.js;tests/bench/gist.bench.js;tests/bench/pin.bench.js;tests/bench/utils.js,.github/workflows/codeql-analysis.yml;.github/workflows/deploy-prep.py;.github/workflows/deploy-prep.yml;.github/workflows/e2e-test.yml;.github/workflows/empty-issues-closer.yml;.github/workflows/generate-theme-doc.yml;.github/workflows/label-pr.yml;.github/workflows/ossf-analysis.yml;.github/workflows/preview-theme.yml;.github/workflows/prs-cache-clean.yml,.github/ISSUE_TEMPLATE/bug_report.yml;.github/ISSUE_TEMPLATE/config.yml;.github/ISSUE_TEMPLATE/feature_request.yml;CODE_OF_CONDUCT.md;CONTRIBUTING.md;SECURITY.md,False,150,data\raw\repo_metadata\anuraghazra_github_readme_stats_quality_screen_snapshot.json,,,,,,data\interim\quality_screened_candidates\javascript_candidates_filtered.csv,14,anuraghazra/github-readme-stats,JavaScript,"{""JavaScript"":429394,""Shell"":573}",429394,429967,0.9986673395865264,0.7,True,551,178,True,enriched,
JavaScript,True,awesome,full_name; name,3470471,MDEwOlJlcG9zaXRvcnkzNDcwNDcx,Font-Awesome,FortAwesome/Font-Awesome,https://github.com/FortAwesome/Font-Awesome,"The iconic SVG, font, and CSS toolkit",JavaScript,76525,76525,12217,324,False,False,True,False,2012-02-17T14:19:43Z,2026-04-28T15:33:25Z,2026-02-10T18:21:21Z,7.x,FortAwesome,Organization,NOASSERTION,data\raw\candidate_repos\javascript_candidates_raw.json,16,screened,final_sample_only,True,3,3,,False,True,True,True,2025-01-01,5,False,False,True,,,.github/ISSUE_TEMPLATE/100_web_bug_report.yml;.github/ISSUE_TEMPLATE/101_other_bug_report.yml;.github/ISSUE_TEMPLATE/config.yml;.github/PULL_REQUEST_TEMPLATE.md;CODE_OF_CONDUCT.md;CONTRIBUTING.md,False,23117,data\raw\repo_metadata\fortawesome_font_awesome_quality_screen_snapshot.json,,,,,,data\interim\quality_screened_candidates\javascript_candidates_filtered.csv,15,FortAwesome/Font-Awesome,JavaScript,"{""CSS"":411560,""JavaScript"":5671961,""SCSS"":487228}",5671961,6570749,0.863213767562876,0.7,True,20,5873,True,enriched,
JavaScript,False,,,14747598,MDEwOlJlcG9zaXRvcnkxNDc0NzU5OA==,json-server,typicode/json-server,https://github.com/typicode/json-server,Get a full fake REST API with zero coding in less than 30 seconds (seriously),JavaScript,75575,75575,7286,716,False,False,True,False,2013-11-27T13:21:13Z,2026-04-28T18:31:31Z,2026-03-23T19:40:00Z,main,typicode,User,MIT,data\raw\candidate_repos\javascript_candidates_raw.json,17,screened,final_sample_only,True,4,3,,True,True,True,True,2025-01-01,5,True,True,False,src/adapters/normalized-adapter.test.ts;src/app.test.ts;src/matches-where.test.ts;src/paginate.test.ts;src/parse-where.test.ts;src/service.test.ts,.github/workflows/node.js.yml;.github/workflows/publish.yml,,False,41,data\raw\repo_metadata\typicode_json_server_quality_screen_snapshot.json,,,,,,data\interim\quality_screened_candidates\javascript_candidates_filtered.csv,16,typicode/json-server,JavaScript,"{""HTML"":3998,""JavaScript"":44433}",44433,48431,0.9174495674258223,0.7,True,102,47,True,enriched,
JavaScript,False,,,237159,MDEwOlJlcG9zaXRvcnkyMzcxNTk=,express,expressjs/express,https://github.com/expressjs/express,"Fast, unopinionated, minimalist web framework for node.",JavaScript,68978,68978,23192,209,False,False,True,False,2009-06-26T18:56:01Z,2026-04-28T18:13:26Z,2026-04-23T17:50:10Z,master,expressjs,Organization,MIT,data\raw\candidate_repos\javascript_candidates_raw.json,19,screened,final_sample_only,True,4,3,,True,True,True,True,2025-01-01,5,True,True,False,test;test/Route.js;test/Router.js;test/acceptance;test/acceptance/auth.js;test/acceptance/content-negotiation.js;test/acceptance/cookie-sessions.js;test/acceptance/cookies.js;test/acceptance/downloads.js;test/acceptance/ejs.js,.github/workflows/ci.yml;.github/workflows/codeql.yml;.github/workflows/legacy.yml;.github/workflows/scorecard.yml,,False,281,data\raw\repo_metadata\expressjs_express_quality_screen_snapshot.json,,,,,,data\interim\quality_screened_candidates\javascript_candidates_filtered.csv,18,expressjs/express,JavaScript,"{""JavaScript"":495431}",495431,495431,1.0,0.7,True,246,258,True,enriched,
JavaScript,False,,,53809090,MDEwOlJlcG9zaXRvcnk1MzgwOTA5MA==,anime,juliangarnier/anime,https://github.com/juliangarnier/anime,JavaScript animation engine,JavaScript,67549,67549,4535,100,False,False,True,False,2016-03-13T21:37:45Z,2026-04-28T18:23:13Z,2026-02-13T17:19:34Z,master,juliangarnier,User,MIT,data\raw\candidate_repos\javascript_candidates_raw.json,20,screened,final_sample_only,True,4,3,,True,True,True,True,2025-01-01,5,True,False,True,tests;tests/assets;tests/assets/Altinn-DINExp.woff2;tests/assets/favicon.png;tests/assets/icon.png;tests/index.html;tests/playground;tests/playground/additive-animations-2.html;tests/playground/advanced-staggering-demos.html;tests/playground/animejs-mgs-logo-animation.html,,.github/ISSUE_TEMPLATE/bug_report.md;.github/ISSUE_TEMPLATE/config.yml;.github/ISSUE_TEMPLATE/documentation-update.md;.github/ISSUE_TEMPLATE/feature_request.md;CONTRIBUTING.md,False,581,data\raw\repo_metadata\juliangarnier_anime_quality_screen_snapshot.json,,,,,,data\interim\quality_screened_candidates\javascript_candidates_filtered.csv,19,juliangarnier/anime,JavaScript,"{""CSS"":6416,""HTML"":208402,""JavaScript"":1035069}",1035069,1249887,0.8281300629576914,0.7,True,140,240,True,enriched,
