language_group,manual_review_flag,manual_review_cues,manual_review_fields,id,node_id,name,full_name,html_url,description,language,stargazers_count,watchers_count,forks_count,open_issues_count,archived,fork,has_issues,private,created_at,updated_at,pushed_at,default_branch,owner_login,owner_type,license_spdx_id,source_file,source_record_index
TypeScript,False,,,28457823,MDEwOlJlcG9zaXRvcnkyODQ1NzgyMw==,freeCodeCamp,freeCodeCamp/freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,"freeCodeCamp.org's open-source codebase and curriculum. Learn math, programming, and computer science for free.",TypeScript,443805,443805,44422,179,False,False,True,False,2014-12-24T17:49:19Z,2026-04-28T18:53:56Z,2026-04-28T17:15:56Z,main,freeCodeCamp,Organization,BSD-3-Clause,data\raw\candidate_repos\typescript_candidates_raw.json,0
TypeScript,False,,,1103012935,R_kgDOQb6kRw,openclaw,openclaw/openclaw,https://github.com/openclaw/openclaw,Your own personal AI assistant. Any OS. Any Platform. The lobster way. 🦞 ,TypeScript,365816,365816,74983,6949,False,False,True,False,2025-11-24T10:16:47Z,2026-04-28T19:09:16Z,2026-04-28T19:08:35Z,main,openclaw,Organization,MIT,data\raw\candidate_repos\typescript_candidates_raw.json,1
TypeScript,False,,,85077558,MDEwOlJlcG9zaXRvcnk4NTA3NzU1OA==,developer-roadmap,nilbuild/developer-roadmap,https://github.com/nilbuild/developer-roadmap,"Interactive roadmaps, guides and other educational content to help developers grow in their careers.",TypeScript,353830,353830,43978,16,False,False,True,False,2017-03-15T13:45:52Z,2026-04-28T19:00:32Z,2026-04-27T15:19:00Z,master,nilbuild,User,NOASSERTION,data\raw\candidate_repos\typescript_candidates_raw.json,2
TypeScript,False,,,11730342,MDEwOlJlcG9zaXRvcnkxMTczMDM0Mg==,vue,vuejs/vue,https://github.com/vuejs/vue,"This is the repo for Vue 2. For Vue 3, go to https://github.com/vuejs/core",TypeScript,209808,209808,33842,622,False,False,True,False,2013-07-29T03:24:51Z,2026-04-28T18:32:34Z,2024-10-10T07:24:15Z,main,vuejs,Organization,MIT,data\raw\candidate_repos\typescript_candidates_raw.json,3
TypeScript,False,,,193215554,MDEwOlJlcG9zaXRvcnkxOTMyMTU1NTQ=,n8n,n8n-io/n8n,https://github.com/n8n-io/n8n,"Fair-code workflow automation platform with native AI capabilities. Combine visual building with custom code, self-host or cloud, 400+ integrations.",TypeScript,185971,185971,57193,1543,False,False,True,False,2019-06-22T09:24:21Z,2026-04-28T19:03:46Z,2026-04-28T18:54:24Z,master,n8n-io,Organization,NOASSERTION,data\raw\candidate_repos\typescript_candidates_raw.json,4
TypeScript,False,,,41881900,MDEwOlJlcG9zaXRvcnk0MTg4MTkwMA==,vscode,microsoft/vscode,https://github.com/microsoft/vscode,Visual Studio Code,TypeScript,184357,184357,39510,16790,False,False,True,False,2015-09-03T20:23:38Z,2026-04-28T19:00:54Z,2026-04-28T19:08:08Z,main,microsoft,Organization,MIT,data\raw\candidate_repos\typescript_candidates_raw.json,5
TypeScript,False,,,975734319,R_kgDOOiiGLw,opencode,anomalyco/opencode,https://github.com/anomalyco/opencode,The open source coding agent.,TypeScript,151267,151267,17392,6177,False,False,True,False,2025-04-30T20:08:00Z,2026-04-28T19:09:04Z,2026-04-28T18:53:18Z,dev,anomalyco,Organization,MIT,data\raw\candidate_repos\typescript_candidates_raw.json,6
TypeScript,False,,,626805178,R_kgDOJVxJug,dify,langgenius/dify,https://github.com/langgenius/dify,Production-ready platform for agentic workflow development.,TypeScript,139515,139515,21875,829,False,False,True,False,2023-04-12T07:40:24Z,2026-04-28T18:50:28Z,2026-04-28T11:10:50Z,main,langgenius,Organization,NOASSERTION,data\raw\candidate_repos\typescript_candidates_raw.json,7
TypeScript,False,,,62607227,MDEwOlJlcG9zaXRvcnk2MjYwNzIyNw==,tech-interview-handbook,yangshun/tech-interview-handbook,https://github.com/yangshun/tech-interview-handbook,Curated coding interview preparation materials for busy software engineers,TypeScript,139064,139064,16534,44,False,False,True,False,2016-07-05T05:00:48Z,2026-04-28T17:21:52Z,2026-04-05T23:58:25Z,main,yangshun,User,MIT,data\raw\candidate_repos\typescript_candidates_raw.json,8
TypeScript,False,,,231283452,MDEwOlJlcG9zaXRvcnkyMzEyODM0NTI=,excalidraw,excalidraw/excalidraw,https://github.com/excalidraw/excalidraw,Virtual whiteboard for sketching hand-drawn like diagrams,TypeScript,122133,122133,13448,3019,False,False,True,False,2020-01-02T01:04:43Z,2026-04-28T19:08:22Z,2026-04-28T16:27:34Z,master,excalidraw,Organization,MIT,data\raw\candidate_repos\typescript_candidates_raw.json,9
TypeScript,False,,,157616880,MDEwOlJlcG9zaXRvcnkxNTc2MTY4ODA=,iptv,iptv-org/iptv,https://github.com/iptv-org/iptv,Collection of publicly available IPTV channels from all over the world,TypeScript,115590,115590,6054,15,False,False,True,False,2018-11-14T22:00:57Z,2026-04-28T18:36:26Z,2026-04-28T00:29:42Z,master,iptv-org,Organization,Unlicense,data\raw\candidate_repos\typescript_candidates_raw.json,10
TypeScript,False,,,721767116,R_kgDOKwVKzA,clash-verge-rev,clash-verge-rev/clash-verge-rev,https://github.com/clash-verge-rev/clash-verge-rev,"A modern GUI client based on Tauri, designed to run in Windows, macOS and Linux for tailored proxy experience",TypeScript,114267,114267,8350,301,False,False,True,False,2023-11-21T18:24:03Z,2026-04-28T18:57:38Z,2026-04-27T18:28:48Z,dev,clash-verge-rev,Organization,GPL-3.0,data\raw\candidate_repos\typescript_candidates_raw.json,11
TypeScript,False,,,585146387,R_kgDOIuCgEw,ui,shadcn-ui/ui,https://github.com/shadcn-ui/ui,"A set of beautifully-designed, accessible components and a code distribution platform. Works with your favorite frameworks. Open Source. Open Code.",TypeScript,113160,113160,8675,1855,False,False,True,False,2023-01-04T12:43:27Z,2026-04-28T19:03:39Z,2026-04-28T17:35:08Z,main,shadcn-ui,Organization,MIT,data\raw\candidate_repos\typescript_candidates_raw.json,12
