repository_full_name,language_group,target_language_share,default_branch_commit_count_in_window,closed_issue_count_in_window,quality_screen_pass,language_threshold_pass,commit_threshold_pass,closed_issue_threshold_pass,pre_sampling_eligible,pre_sampling_exclusion_reasons,manual_review_flag,manual_review_cues,manual_review_fields,id,node_id,name,full_name,html_url,description,language,stargazers_count,watchers_count,forks_count,open_issues_count,archived,fork,has_issues,private,created_at,updated_at,pushed_at,default_branch,owner_login,owner_type,license_spdx_id,source_file,source_record_index,quality_screen_status,quality_screen_intended_use,quality_screen_score,quality_screen_threshold,quality_screen_failure_reasons,quality_check_not_manual_review_flagged,quality_check_recent_maintenance,quality_check_issue_usage,quality_check_engineering_workflow,quality_recent_push_cutoff_date,quality_open_issues_threshold,quality_signal_has_tests,quality_signal_has_ci,quality_signal_has_community_health_files,quality_signal_matched_test_paths,quality_signal_matched_ci_paths,quality_signal_matched_community_health_paths,quality_tree_truncated,quality_tree_path_count,quality_signal_snapshot_file,quality_screen_error_type,quality_screen_error_message,quality_screen_error_status_code,quality_screen_error_retryable,quality_screen_error_attempts,enrichment_input_file,enrichment_input_record_index,target_language,language_stats,target_language_bytes,total_language_bytes,language_threshold,closed_issue_count_available,enrichment_status,enrichment_failure_reason,pre_sampling_screen_input_file,pre_sampling_screen_input_record_index
facebook/react,JavaScript,0.6819509965107665,3607,2001,True,False,True,True,False,language_threshold_failed,False,,,10270250,MDEwOlJlcG9zaXRvcnkxMDI3MDI1MA==,react,facebook/react,https://github.com/facebook/react,The library for web and native user interfaces.,JavaScript,244750,244750,50994,1256,False,False,True,False,2013-05-24T16:15:54Z,2026-04-28T18:58:51Z,2026-04-27T21:50:04Z,main,facebook,Organization,MIT,data\raw\candidate_repos\javascript_candidates_raw.json,0,screened,final_sample_only,4,3,,True,True,True,True,2025-01-01,5,True,True,True,.claude/skills/test;.claude/skills/test/SKILL.md;compiler/apps/playground/__tests__;compiler/apps/playground/__tests__/e2e;compiler/apps/playground/__tests__/e2e/__snapshots__;compiler/apps/playground/__tests__/e2e/__snapshots__/page.spec.ts;compiler/apps/playground/__tests__/e2e/__snapshots__/page.spec.ts/01-user-output.txt;compiler/apps/playground/__tests__/e2e/__snapshots__/page.spec.ts/02-default-output.txt;compiler/apps/playground/__tests__/e2e/__snapshots__/page.spec.ts/compilationMode-all-output.txt;compiler/apps/playground/__tests__/e2e/__snapshots__/page.spec.ts/compilationMode-infer-output.txt,.github/workflows/compiler_discord_notify.yml;.github/workflows/compiler_playground.yml;.github/workflows/compiler_prereleases.yml;.github/workflows/compiler_prereleases_manual.yml;.github/workflows/compiler_prereleases_nightly.yml;.github/workflows/compiler_typescript.yml;.github/workflows/devtools_discord_notify.yml;.github/workflows/devtools_regression_tests.yml;.github/workflows/runtime_build_and_test.yml;.github/workflows/runtime_commit_artifacts.yml,.github/ISSUE_TEMPLATE/bug_report.md;.github/ISSUE_TEMPLATE/compiler_bug_report.yml;.github/ISSUE_TEMPLATE/config.yml;.github/ISSUE_TEMPLATE/devtools_bug_report.yml;.github/PULL_REQUEST_TEMPLATE.md;CODE_OF_CONDUCT.md;CONTRIBUTING.md;SECURITY.md;packages/react-devtools/CONTRIBUTING.md,False,7482,data\raw\repo_metadata\facebook_react_quality_screen_snapshot.json,,,,,,data\interim\quality_screened_candidates\javascript_candidates_filtered.csv,1,JavaScript,"{""CSS"":90513,""CoffeeScript"":18691,""HTML"":116065,""JavaScript"":5447816,""Shell"":8899,""TypeScript"":2306590}",5447816,7988574,0.7,True,enriched,,data\interim\enriched_candidates\candidate_enrichment_results.csv,1
trekhleb/javascript-algorithms,JavaScript,1.0,30,16,True,True,False,True,False,commit_threshold_failed,False,,,126577260,MDEwOlJlcG9zaXRvcnkxMjY1NzcyNjA=,javascript-algorithms,trekhleb/javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,📝 Algorithms and data structures implemented in JavaScript with explanations and links to further readings,JavaScript,195895,195895,31090,403,False,False,True,False,2018-03-24T07:47:04Z,2026-04-28T18:13:30Z,2026-02-18T09:20:06Z,master,trekhleb,User,MIT,data\raw\candidate_repos\javascript_candidates_raw.json,1,screened,final_sample_only,4,3,,True,True,True,True,2025-01-01,5,True,True,True,src/algorithms/cryptography/caesar-cipher/__test__;src/algorithms/cryptography/caesar-cipher/__test__/caesarCipher.test.js;src/algorithms/cryptography/hill-cipher/_test_/hillCipher.test.js;src/algorithms/cryptography/polynomial-hash/__test__;src/algorithms/cryptography/polynomial-hash/__test__/PolynomialHash.test.js;src/algorithms/cryptography/polynomial-hash/__test__/SimplePolynomialHash.test.js;src/algorithms/cryptography/rail-fence-cipher/__test__;src/algorithms/cryptography/rail-fence-cipher/__test__/railFenceCipher.test.js;src/algorithms/graph/articulation-points/__test__;src/algorithms/graph/articulation-points/__test__/articulationPoints.test.js,.github/workflows/CI.yml,CODE_OF_CONDUCT.md;CONTRIBUTING.md,False,940,data\raw\repo_metadata\trekhleb_javascript_algorithms_quality_screen_snapshot.json,,,,,,data\interim\quality_screened_candidates\javascript_candidates_filtered.csv,2,JavaScript,"{""JavaScript"":724990}",724990,724990,0.7,True,enriched,,data\interim\enriched_candidates\candidate_enrichment_results.csv,2
affaan-m/everything-claude-code,JavaScript,0.5130063408185701,0,0,True,False,False,False,False,language_threshold_failed;commit_threshold_failed;closed_issue_threshold_failed,False,,,1136590548,R_kgDOQ77-1A,everything-claude-code,affaan-m/everything-claude-code,https://github.com/affaan-m/everything-claude-code,"The agent harness performance optimization system. Skills, instincts, memory, security, and research-first development for Claude Code, Codex, Opencode, Cursor and beyond.",JavaScript,169209,169209,26220,184,False,False,True,False,2026-01-18T00:51:51Z,2026-04-28T19:07:33Z,2026-04-26T04:53:53Z,main,affaan-m,User,MIT,data\raw\candidate_repos\javascript_candidates_raw.json,2,screened,final_sample_only,4,3,,True,True,True,True,2025-01-01,5,True,True,True,skills/skill-comply/tests;skills/skill-comply/tests/test_grader.py;skills/skill-comply/tests/test_parser.py;tests;tests/__init__.py;tests/ci;tests/ci/agent-yaml-surface.test.js;tests/ci/validate-workflow-security.test.js;tests/ci/validators.test.js;tests/codex-config.test.js,.github/workflows/ci.yml;.github/workflows/maintenance.yml;.github/workflows/monthly-metrics.yml;.github/workflows/release.yml;.github/workflows/reusable-release.yml;.github/workflows/reusable-test.yml;.github/workflows/reusable-validate.yml,.github/ISSUE_TEMPLATE/copilot-task.md;.github/PULL_REQUEST_TEMPLATE.md;.kiro/steering/security.md;.opencode/commands/security.md;CODE_OF_CONDUCT.md;CONTRIBUTING.md;SECURITY.md;docs/ja-JP/CONTRIBUTING.md;docs/ja-JP/rules/security.md;docs/ko-KR/CONTRIBUTING.md,False,2662,data\raw\repo_metadata\affaan_m_everything_claude_code_quality_screen_snapshot.json,,,,,,data\interim\quality_screened_candidates\javascript_candidates_filtered.csv,3,JavaScript,"{""JavaScript"":2396741,""PowerShell"":1547,""Python"":234967,""Rust"":1818298,""Shell"":162725,""TypeScript"":57674}",2396741,4671952,0.7,True,enriched,,data\interim\enriched_candidates\candidate_enrichment_results.csv,3
airbnb/javascript,JavaScript,1.0,0,108,True,True,False,True,False,commit_threshold_failed,False,,,6498492,MDEwOlJlcG9zaXRvcnk2NDk4NDky,javascript,airbnb/javascript,https://github.com/airbnb/javascript,JavaScript Style Guide,JavaScript,148122,148122,26705,159,False,False,True,False,2012-11-01T23:13:50Z,2026-04-28T18:32:59Z,2026-04-16T19:24:09Z,master,airbnb,Organization,MIT,data\raw\candidate_repos\javascript_candidates_raw.json,3,screened,final_sample_only,4,3,,True,True,True,True,2025-01-01,5,True,True,True,packages/eslint-config-airbnb-base/test;packages/eslint-config-airbnb-base/test/.eslintrc;packages/eslint-config-airbnb-base/test/requires.js;packages/eslint-config-airbnb-base/test/test-base.js;packages/eslint-config-airbnb/test;packages/eslint-config-airbnb/test/.eslintrc;packages/eslint-config-airbnb/test/requires.js;packages/eslint-config-airbnb/test/test-base.js;packages/eslint-config-airbnb/test/test-react-order.js,.github/workflows/node-pretest.yml;.github/workflows/node.yml;.github/workflows/rebase.yml;.github/workflows/require-allow-edits.yml,CODE_OF_CONDUCT.md,False,76,data\raw\repo_metadata\airbnb_javascript_quality_screen_snapshot.json,,,,,,data\interim\quality_screened_candidates\javascript_candidates_filtered.csv,4,JavaScript,"{""JavaScript"":80502}",80502,80502,0.7,True,enriched,,data\interim\enriched_candidates\candidate_enrichment_results.csv,4
vercel/next.js,JavaScript,0.5447511466073235,11363,5555,True,False,True,True,False,language_threshold_failed,False,,,70107786,MDEwOlJlcG9zaXRvcnk3MDEwNzc4Ng==,next.js,vercel/next.js,https://github.com/vercel/next.js,The React Framework,JavaScript,139209,139209,30984,3863,False,False,True,False,2016-10-05T23:32:51Z,2026-04-28T18:42:28Z,2026-04-28T18:57:58Z,canary,vercel,Organization,MIT,data\raw\candidate_repos\javascript_candidates_raw.json,4,screened,final_sample_only,4,3,,True,True,True,True,2025-01-01,5,True,True,True,crates/next-custom-transforms/tests;crates/next-custom-transforms/tests/errors.rs;crates/next-custom-transforms/tests/errors;crates/next-custom-transforms/tests/errors/next-dynamic;crates/next-custom-transforms/tests/errors/next-dynamic/no-arguments;crates/next-custom-transforms/tests/errors/next-dynamic/no-arguments/input.js;crates/next-custom-transforms/tests/errors/next-dynamic/no-arguments/output.js;crates/next-custom-transforms/tests/errors/next-dynamic/no-arguments/output.stderr;crates/next-custom-transforms/tests/errors/next-dynamic/options-as-variable;crates/next-custom-transforms/tests/errors/next-dynamic/options-as-variable/input.js,.github/workflows/build_and_deploy.yml;.github/workflows/build_and_test.yml;.github/workflows/build_reusable.yml;.github/workflows/code_freeze.yml;.github/workflows/create_release_branch.yml;.github/workflows/graphite_ci_optimizer.yml;.github/workflows/integration_tests_reusable.yml;.github/workflows/issue_lock.yml;.github/workflows/issue_stale.yml;.github/workflows/issue_wrong_template.yml,.github/ISSUE_TEMPLATE/1.bug_report.yml;.github/ISSUE_TEMPLATE/4.docs_report.yml;.github/ISSUE_TEMPLATE/config.yml;.github/pull_request_template.md;CODE_OF_CONDUCT.md;contributing.md,False,42547,data\raw\repo_metadata\vercel_next_js_quality_screen_snapshot.json,,,,,,data\interim\quality_screened_candidates\javascript_candidates_filtered.csv,5,JavaScript,"{""Batchfile"":579,""CSS"":536971,""Dockerfile"":5470,""HTML"":2483,""JavaScript"":38400886,""MDX"":360530,""Pug"":49,""Python"":3990,""Rust"":9494385,""SCSS"":8337,""Sass"":322,""Shell"":34171,""TypeScript"":21643859,""WebAssembly"":497}",38400886,70492529,0.7,True,enriched,,data\interim\enriched_candidates\candidate_enrichment_results.csv,5
nodejs/node,JavaScript,0.6321255174791529,5210,2561,True,False,True,True,False,language_threshold_failed,False,,,27193779,MDEwOlJlcG9zaXRvcnkyNzE5Mzc3OQ==,node,nodejs/node,https://github.com/nodejs/node,Node.js JavaScript runtime ✨🐢🚀✨,JavaScript,116963,116963,35453,2644,False,False,True,False,2014-11-26T19:57:11Z,2026-04-28T19:09:01Z,2026-04-28T18:48:27Z,main,nodejs,Organization,NOASSERTION,data\raw\candidate_repos\javascript_candidates_raw.json,6,screened,final_sample_only,4,3,,True,True,True,True,2025-01-01,5,True,True,True,deps/crates/vendor/autocfg/tests;deps/crates/vendor/autocfg/tests/no_std.rs;deps/crates/vendor/autocfg/tests/rustflags.rs;deps/crates/vendor/autocfg/tests/support;deps/crates/vendor/autocfg/tests/support/mod.rs;deps/crates/vendor/autocfg/tests/tests.rs;deps/crates/vendor/autocfg/tests/wrap_ignored;deps/crates/vendor/autocfg/tests/wrappers.rs;deps/crates/vendor/displaydoc/tests;deps/crates/vendor/displaydoc/tests/compile_tests.rs,.github/workflows/auto-start-ci.yml;.github/workflows/build-tarball.yml;.github/workflows/close-stalled.yml;.github/workflows/codeql.yml;.github/workflows/comment-labeled.yml;.github/workflows/commit-lint-problem-matcher.json;.github/workflows/commit-lint.yml;.github/workflows/commit-queue.yml;.github/workflows/coverage-linux-without-intl.yml;.github/workflows/coverage-linux.yml,.github/ISSUE_TEMPLATE/1-bug-report.yml;.github/ISSUE_TEMPLATE/2-feature-request.yml;.github/ISSUE_TEMPLATE/3-api-ref-docs-problem.yml;.github/ISSUE_TEMPLATE/4-report-a-flaky-test.yml;.github/ISSUE_TEMPLATE/config.yml;.github/PULL_REQUEST_TEMPLATE.md;.github/SUPPORT.md;CODE_OF_CONDUCT.md;CONTRIBUTING.md;GOVERNANCE.md,False,52693,data\raw\repo_metadata\nodejs_node_quality_screen_snapshot.json,,,,,,data\interim\quality_screened_candidates\javascript_candidates_filtered.csv,6,JavaScript,"{""Assembly"":575,""Batchfile"":51273,""C"":693635,""C++"":6234887,""Emacs Lisp"":14363,""Go Template"":2021,""HTML"":163390,""JavaScript"":17197866,""Makefile"":63290,""Nix"":14159,""Perl"":11715,""Python"":2617781,""R"":8037,""Shell"":132130,""TypeScript"":1288}",17197866,27206410,0.7,True,enriched,,data\interim\enriched_candidates\candidate_enrichment_results.csv,6
mrdoob/three.js,JavaScript,0.6723228365483578,3880,1225,True,False,True,True,False,language_threshold_failed,False,,,576201,MDEwOlJlcG9zaXRvcnk1NzYyMDE=,three.js,mrdoob/three.js,https://github.com/mrdoob/three.js,JavaScript 3D Library.,JavaScript,112219,112219,36357,521,False,False,True,False,2010-03-23T18:58:01Z,2026-04-28T16:15:15Z,2026-04-28T16:15:05Z,dev,mrdoob,User,MIT,data\raw\candidate_repos\javascript_candidates_raw.json,7,screened,final_sample_only,4,3,,True,True,True,True,2025-01-01,5,True,True,True,examples/models/collada/test;examples/models/collada/test/polygons.dae;examples/models/collada/test/polygons_concave.dae;examples/models/svg/tests;examples/models/svg/tests/1.png;examples/models/svg/tests/1.svg;examples/models/svg/tests/2.png;examples/models/svg/tests/2.svg;examples/models/svg/tests/3.png;examples/models/svg/tests/3.svg,.github/workflows/ci.yml;.github/workflows/codeql-code-scanning.yml;.github/workflows/protected-folders.yml;.github/workflows/read-size.yml;.github/workflows/report-size.yml,.github/CODE_OF_CONDUCT.md;.github/CONTRIBUTING.md;.github/ISSUE_TEMPLATE/bug_report.yml;.github/ISSUE_TEMPLATE/config.yml;.github/ISSUE_TEMPLATE/feature_request.yml;.github/pull_request_template.md;SECURITY.md,False,6300,data\raw\repo_metadata\mrdoob_three_js_quality_screen_snapshot.json,,,,,,data\interim\quality_screened_candidates\javascript_candidates_filtered.csv,7,JavaScript,"{""CSS"":58947,""HTML"":6785535,""JavaScript"":15024506,""Roff"":478172}",15024506,22347160,0.7,True,enriched,,data\interim\enriched_candidates\candidate_enrichment_results.csv,7
axios/axios,JavaScript,0.8799669064695914,301,787,True,True,True,True,True,,False,,,23088740,MDEwOlJlcG9zaXRvcnkyMzA4ODc0MA==,axios,axios/axios,https://github.com/axios/axios,Promise based HTTP client for the browser and node.js,JavaScript,109027,109027,11657,181,False,False,True,False,2014-08-18T22:30:27Z,2026-04-28T18:31:42Z,2026-04-28T17:44:40Z,v1.x,axios,Organization,MIT,data\raw\candidate_repos\javascript_candidates_raw.json,8,screened,final_sample_only,4,3,,True,True,True,True,2025-01-01,5,True,True,True,tests;tests/README.md;tests/browser;tests/browser/adapter.browser.test.js;tests/browser/basicAuth.browser.test.js;tests/browser/cancel.browser.test.js;tests/browser/cancelToken.browser.test.js;tests/browser/cookies.browser.test.js;tests/browser/defaults.browser.test.js;tests/browser/formdata.browser.test.js,.github/workflows/lockfile-lint.yml;.github/workflows/moderator.yml;.github/workflows/publish.yml;.github/workflows/release-branch.yml;.github/workflows/run-ci.yml;.github/workflows/update-sponsor-block.yml;.github/workflows/verify-build-reproducibility.yml;.github/workflows/zizmor.yml,.github/PULL_REQUEST_TEMPLATE.md;CODE_OF_CONDUCT.md;CONTRIBUTING.md;SECURITY.md;docs/es/pages/misc/security.md;docs/fr/pages/misc/security.md;docs/pages/misc/security.md;docs/zh/pages/misc/security.md,False,523,data\raw\repo_metadata\axios_axios_quality_screen_snapshot.json,,,,,,data\interim\quality_screened_candidates\javascript_candidates_filtered.csv,8,JavaScript,"{""HTML"":14126,""JavaScript"":726447,""TypeScript"":84966}",726447,825539,0.7,True,enriched,,data\interim\enriched_candidates\candidate_enrichment_results.csv,8
facebook/create-react-app,JavaScript,0.9834992149238622,17,53,True,True,False,True,False,commit_threshold_failed,False,,,63537249,MDEwOlJlcG9zaXRvcnk2MzUzNzI0OQ==,create-react-app,facebook/create-react-app,https://github.com/facebook/create-react-app,Set up a modern web app by running one command.,JavaScript,103467,103467,27080,2378,False,False,True,False,2016-07-17T14:55:11Z,2026-04-28T18:32:27Z,2025-02-15T01:32:11Z,main,facebook,Organization,MIT,data\raw\candidate_repos\javascript_candidates_raw.json,9,screened,final_sample_only,4,3,,True,True,True,True,2025-01-01,5,True,True,True,packages/babel-plugin-named-asset-import/index.test.js;packages/cra-template-typescript/template/src/App.test.tsx;packages/cra-template/template/src/App.test.js;packages/create-react-app/__tests__;packages/create-react-app/__tests__/.eslintrc;packages/create-react-app/__tests__/getTemplateInstallPackage.test.js;packages/react-dev-utils/__tests__;packages/react-dev-utils/__tests__/.eslintrc;packages/react-dev-utils/__tests__/getCSSModuleLocalIdent.test.js;packages/react-dev-utils/__tests__/getPublicUrlOrPath.test.js,.github/workflows/build-and-test.yml;.github/workflows/e2e-base.yml;.github/workflows/lint.yml,.github/ISSUE_TEMPLATE/bug_report.md;.github/ISSUE_TEMPLATE/proposal.md;.github/ISSUE_TEMPLATE/question.md;.github/PULL_REQUEST_TEMPLATE.md;CODE_OF_CONDUCT.md;CONTRIBUTING.md;SECURITY.md,False,624,data\raw\repo_metadata\facebook_create_react_app_quality_screen_snapshot.json,,,,,,data\interim\quality_screened_candidates\javascript_candidates_filtered.csv,9,JavaScript,"{""AppleScript"":2657,""CSS"":4592,""HTML"":3736,""JavaScript"":3050431,""SCSS"":491,""Sass"":200,""Shell"":37454,""TypeScript"":2049}",3050431,3101610,0.7,True,enriched,,data\interim\enriched_candidates\candidate_enrichment_results.csv,9
mui/material-ui,JavaScript,0.5880780924777661,4064,1781,True,False,True,True,False,language_threshold_failed,False,,,23083156,MDEwOlJlcG9zaXRvcnkyMzA4MzE1Ng==,material-ui,mui/material-ui,https://github.com/mui/material-ui,Material UI: Comprehensive React component library that implements Google's Material Design. Free forever.,JavaScript,98253,98253,32650,1537,False,False,True,False,2014-08-18T19:11:54Z,2026-04-28T18:31:51Z,2026-04-28T15:54:38Z,master,mui,Organization,MIT,data\raw\candidate_repos\javascript_candidates_raw.json,10,screened,final_sample_only,4,3,,True,True,True,True,2025-01-01,5,True,True,True,docs/src/modules/utils/extractTemplates.test.js;docs/src/modules/utils/replaceMarkdownLinks.test.js;packages-internal/api-docs-builder-core/materialUi/getMaterialUiComponentInfo.test.ts;packages-internal/api-docs-builder/src/buildApiUtils.test.ts;packages-internal/api-docs-builder/src/utils/escapeCell.test.ts;packages-internal/api-docs-builder/src/utils/findApiPages.test.ts;packages-internal/api-docs-builder/src/utils/replaceUrl.test.js;packages-internal/core-docs/src/Demo/DemoThemeProviders.test.tsx;packages-internal/core-docs/src/Demo/sandbox/CodeSandbox.test.js;packages-internal/core-docs/src/Demo/sandbox/Dependencies.test.js,.circleci/config.yml;.github/workflows/check-if-pr-has-label.yml;.github/workflows/ci-check.yml;.github/workflows/ci.yml;.github/workflows/closed-issue-message.yml;.github/workflows/codeql.yml;.github/workflows/create-cherry-pick-pr.yml;.github/workflows/ensure-triage-label.yml;.github/workflows/issue-cleanup.yml;.github/workflows/maintenance.yml,.github/ISSUE_TEMPLATE/1.bug.yml;.github/ISSUE_TEMPLATE/2.feature.yml;.github/ISSUE_TEMPLATE/3.rfc.yml;.github/ISSUE_TEMPLATE/4.docs-feedback.yml;.github/ISSUE_TEMPLATE/5.priority-support.yml;.github/ISSUE_TEMPLATE/config.yml;.github/PULL_REQUEST_TEMPLATE.md;CONTRIBUTING.md;SECURITY.md;docs/data/material/getting-started/support/support.md,False,42605,data\raw\repo_metadata\mui_material_ui_quality_screen_snapshot.json,,,,,,data\interim\quality_screened_candidates\javascript_candidates_filtered.csv,10,JavaScript,"{""CSS"":19832,""HTML"":1608,""JavaScript"":4420002,""TypeScript"":3074570}",4420002,7516012,0.7,True,enriched,,data\interim\enriched_candidates\candidate_enrichment_results.csv,10
