repository_full_name,language_group,exclusion_reason,pre_sampling_exclusion_reasons,source_file,source_record_index
facebook/react,JavaScript,language_threshold_failed,language_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,1
trekhleb/javascript-algorithms,JavaScript,commit_threshold_failed,commit_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,2
affaan-m/everything-claude-code,JavaScript,language_threshold_failed,language_threshold_failed;commit_threshold_failed;closed_issue_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,3
affaan-m/everything-claude-code,JavaScript,commit_threshold_failed,language_threshold_failed;commit_threshold_failed;closed_issue_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,3
affaan-m/everything-claude-code,JavaScript,closed_issue_threshold_failed,language_threshold_failed;commit_threshold_failed;closed_issue_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,3
airbnb/javascript,JavaScript,commit_threshold_failed,commit_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,4
vercel/next.js,JavaScript,language_threshold_failed,language_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,5
nodejs/node,JavaScript,language_threshold_failed,language_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,6
mrdoob/three.js,JavaScript,language_threshold_failed,language_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,7
facebook/create-react-app,JavaScript,commit_threshold_failed,commit_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,9
mui/material-ui,JavaScript,language_threshold_failed,language_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,10
microsoft/Web-Dev-For-Beginners,JavaScript,language_threshold_failed,language_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,11
louislam/uptime-kuma,JavaScript,language_threshold_failed,language_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,13
FortAwesome/Font-Awesome,JavaScript,commit_threshold_failed,commit_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,15
hakimel/reveal.js,JavaScript,language_threshold_failed,language_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,17
gorhill/uBlock,JavaScript,closed_issue_threshold_failed,closed_issue_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,23
lodash/lodash,JavaScript,commit_threshold_failed,commit_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,24
adam-p/markdown-here,JavaScript,commit_threshold_failed,commit_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,26
gsd-build/get-shit-done,JavaScript,language_threshold_failed,language_threshold_failed;closed_issue_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,29
gsd-build/get-shit-done,JavaScript,closed_issue_threshold_failed,language_threshold_failed;closed_issue_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,29
gatsbyjs/gatsby,JavaScript,language_threshold_failed,language_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,31
azl397985856/leetcode,JavaScript,commit_threshold_failed,commit_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,32
marktext/marktext,JavaScript,commit_threshold_failed,commit_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,33
TryGhost/Ghost,JavaScript,language_threshold_failed,language_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,35
agalwood/Motrix,JavaScript,commit_threshold_failed,commit_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,37
chinese-poetry/chinese-poetry,JavaScript,commit_threshold_failed,commit_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,38
