repository_full_name,language_group,commit_raw_file_present,issue_raw_file_present,commit_summary_present,issue_summary_present,commit_failure_present,issue_failure_present,collected_commit_count,collected_issue_count,commit_raw_file,issue_raw_file,collection_complete,audit_failure_reasons,collection_audit_notes
SillyTavern/SillyTavern,JavaScript,True,True,True,True,False,False,8047,1302,data\interim\final_sample\raw_commits\sillytavern_sillytavern_commits_raw.json,data\interim\final_sample\raw_issues\sillytavern_sillytavern_issues_raw.json,True,,
fanmingming/live,JavaScript,True,True,True,True,False,False,4836,123,data\interim\final_sample\raw_commits\fanmingming_live_commits_raw.json,data\interim\final_sample\raw_issues\fanmingming_live_issues_raw.json,True,,
automatisch/automatisch,JavaScript,True,True,True,True,False,False,2551,70,data\interim\final_sample\raw_commits\automatisch_automatisch_commits_raw.json,data\interim\final_sample\raw_issues\automatisch_automatisch_issues_raw.json,True,,
openlayers/openlayers,JavaScript,True,True,True,True,False,False,2276,374,data\interim\final_sample\raw_commits\openlayers_openlayers_commits_raw.json,data\interim\final_sample\raw_issues\openlayers_openlayers_issues_raw.json,True,,
playcanvas/engine,JavaScript,True,True,True,True,False,False,1619,448,data\interim\final_sample\raw_commits\playcanvas_engine_commits_raw.json,data\interim\final_sample\raw_issues\playcanvas_engine_issues_raw.json,True,,
eslint/eslint,JavaScript,True,True,True,True,False,False,1269,946,data\interim\final_sample\raw_commits\eslint_eslint_commits_raw.json,data\interim\final_sample\raw_issues\eslint_eslint_issues_raw.json,True,,
phaserjs/phaser,JavaScript,True,True,True,True,False,False,1261,391,data\interim\final_sample\raw_commits\phaserjs_phaser_commits_raw.json,data\interim\final_sample\raw_issues\phaserjs_phaser_issues_raw.json,True,,
gethomepage/homepage,JavaScript,True,True,True,True,False,False,903,72,data\interim\final_sample\raw_commits\gethomepage_homepage_commits_raw.json,data\interim\final_sample\raw_issues\gethomepage_homepage_issues_raw.json,True,,
drawdb-io/drawdb,JavaScript,True,True,True,True,False,False,839,208,data\interim\final_sample\raw_commits\drawdb_io_drawdb_commits_raw.json,data\interim\final_sample\raw_issues\drawdb_io_drawdb_issues_raw.json,True,,
wanglin2/mind-map,JavaScript,True,True,True,True,False,False,770,689,data\interim\final_sample\raw_commits\wanglin2_mind_map_commits_raw.json,data\interim\final_sample\raw_issues\wanglin2_mind_map_issues_raw.json,True,,
philc/vimium,JavaScript,True,True,True,True,False,False,445,205,data\interim\final_sample\raw_commits\philc_vimium_commits_raw.json,data\interim\final_sample\raw_issues\philc_vimium_issues_raw.json,True,,
parcel-bundler/parcel,JavaScript,True,True,True,True,False,False,402,481,data\interim\final_sample\raw_commits\parcel_bundler_parcel_commits_raw.json,data\interim\final_sample\raw_issues\parcel_bundler_parcel_issues_raw.json,True,,
spicetify/cli,JavaScript,True,True,True,True,False,False,363,606,data\interim\final_sample\raw_commits\spicetify_cli_commits_raw.json,data\interim\final_sample\raw_issues\spicetify_cli_issues_raw.json,True,,
sweetalert2/sweetalert2,JavaScript,True,True,True,True,False,False,307,90,data\interim\final_sample\raw_commits\sweetalert2_sweetalert2_commits_raw.json,data\interim\final_sample\raw_issues\sweetalert2_sweetalert2_issues_raw.json,True,,
lovell/sharp,JavaScript,True,True,True,True,False,False,288,481,data\interim\final_sample\raw_commits\lovell_sharp_commits_raw.json,data\interim\final_sample\raw_issues\lovell_sharp_issues_raw.json,True,,
sudheerj/javascript-interview-questions,JavaScript,True,True,True,True,False,False,265,17,data\interim\final_sample\raw_commits\sudheerj_javascript_interview_questions_commits_raw.json,data\interim\final_sample\raw_issues\sudheerj_javascript_interview_questions_issues_raw.json,True,,
expressjs/express,JavaScript,True,True,True,True,False,False,239,258,data\interim\final_sample\raw_commits\expressjs_express_commits_raw.json,data\interim\final_sample\raw_issues\expressjs_express_issues_raw.json,True,,
codesandbox/codesandbox-client,JavaScript,True,True,True,True,False,False,236,146,data\interim\final_sample\raw_commits\codesandbox_codesandbox_client_commits_raw.json,data\interim\final_sample\raw_issues\codesandbox_codesandbox_client_issues_raw.json,True,,
novnc/noVNC,JavaScript,True,True,True,True,False,False,181,103,data\interim\final_sample\raw_commits\novnc_novnc_commits_raw.json,data\interim\final_sample\raw_issues\novnc_novnc_issues_raw.json,True,,
riot/riot,JavaScript,True,True,True,True,False,False,166,42,data\interim\final_sample\raw_commits\riot_riot_commits_raw.json,data\interim\final_sample\raw_issues\riot_riot_issues_raw.json,True,,
be5invis/Sarasa-Gothic,JavaScript,True,True,True,True,False,False,150,90,data\interim\final_sample\raw_commits\be5invis_sarasa_gothic_commits_raw.json,data\interim\final_sample\raw_issues\be5invis_sarasa_gothic_issues_raw.json,True,,
browserslist/browserslist,JavaScript,True,True,True,True,False,False,140,36,data\interim\final_sample\raw_commits\browserslist_browserslist_commits_raw.json,data\interim\final_sample\raw_issues\browserslist_browserslist_issues_raw.json,True,,
leonardomso/33-js-concepts,JavaScript,True,True,True,True,False,False,131,20,data\interim\final_sample\raw_commits\leonardomso_33_js_concepts_commits_raw.json,data\interim\final_sample\raw_issues\leonardomso_33_js_concepts_issues_raw.json,True,,
JedWatson/classnames,JavaScript,True,True,True,True,False,False,128,9,data\interim\final_sample\raw_commits\jedwatson_classnames_commits_raw.json,data\interim\final_sample\raw_issues\jedwatson_classnames_issues_raw.json,True,,
mjmlio/mjml,JavaScript,True,True,True,True,False,False,120,125,data\interim\final_sample\raw_commits\mjmlio_mjml_commits_raw.json,data\interim\final_sample\raw_issues\mjmlio_mjml_issues_raw.json,True,,
iamkun/dayjs,JavaScript,True,True,True,True,False,False,110,66,data\interim\final_sample\raw_commits\iamkun_dayjs_commits_raw.json,data\interim\final_sample\raw_issues\iamkun_dayjs_issues_raw.json,True,,
chartjs/Chart.js,JavaScript,True,True,True,True,False,False,95,135,data\interim\final_sample\raw_commits\chartjs_chart_js_commits_raw.json,data\interim\final_sample\raw_issues\chartjs_chart_js_issues_raw.json,True,,
mayswind/AriaNg,JavaScript,True,True,True,True,False,False,83,64,data\interim\final_sample\raw_commits\mayswind_ariang_commits_raw.json,data\interim\final_sample\raw_issues\mayswind_ariang_issues_raw.json,True,,
h5bp/html5-boilerplate,JavaScript,True,True,True,True,False,False,75,33,data\interim\final_sample\raw_commits\h5bp_html5_boilerplate_commits_raw.json,data\interim\final_sample\raw_issues\h5bp_html5_boilerplate_issues_raw.json,True,,
