repository_full_name,language_group,target_language_share,default_branch_commit_count_in_window,closed_issue_count_in_window,quality_screen_pass,language_threshold_pass,commit_threshold_pass,closed_issue_threshold_pass,pre_sampling_eligible,pre_sampling_exclusion_reasons,manual_review_flag,manual_review_cues,manual_review_fields,id,node_id,name,full_name,html_url,description,language,stargazers_count,watchers_count,forks_count,open_issues_count,archived,fork,has_issues,private,created_at,updated_at,pushed_at,default_branch,owner_login,owner_type,license_spdx_id,source_file,source_record_index,quality_screen_status,quality_screen_intended_use,quality_screen_score,quality_screen_threshold,quality_screen_failure_reasons,quality_check_not_manual_review_flagged,quality_check_recent_maintenance,quality_check_issue_usage,quality_check_engineering_workflow,quality_recent_push_cutoff_date,quality_open_issues_threshold,quality_signal_has_tests,quality_signal_has_ci,quality_signal_has_community_health_files,quality_signal_matched_test_paths,quality_signal_matched_ci_paths,quality_signal_matched_community_health_paths,quality_tree_truncated,quality_tree_path_count,quality_signal_snapshot_file,quality_screen_error_type,quality_screen_error_message,quality_screen_error_status_code,quality_screen_error_retryable,quality_screen_error_attempts,enrichment_input_file,enrichment_input_record_index,target_language,language_stats,target_language_bytes,total_language_bytes,language_threshold,closed_issue_count_available,enrichment_status,enrichment_failure_reason,pre_sampling_screen_input_file,pre_sampling_screen_input_record_index,final_sampling_input_file,final_sampling_input_record_index,activity_field_used,activity_field_is_proxy,activity_value,activity_stratum,activity_stratum_rank,activity_rank_within_stratum,final_sampling_stage,final_sampling_role,reserve_rank_within_language_stratum
usebruno/bruno,JavaScript,0.7894002050936261,2142,1889,True,True,True,True,True,,False,,,542284380,R_kgDOIFKaXA,bruno,usebruno/bruno,https://github.com/usebruno/bruno,Opensource IDE For Exploring and Testing API's (lightweight alternative to Postman/Insomnia),JavaScript,43348,43348,2360,1650,False,False,True,False,2022-09-27T20:51:45Z,2026-04-28T17:29:49Z,2026-04-28T13:43:53Z,main,usebruno,Organization,MIT,data\raw\candidate_repos\javascript_candidates_raw.json,64,screened,final_sample_only,4,3,,True,True,True,True,2025-01-01,5,True,True,True,.github/actions/tests;.github/actions/tests/run-cli-tests;.github/actions/tests/run-cli-tests/action.yml;.github/actions/tests/run-e2e-tests;.github/actions/tests/run-e2e-tests/action.yml;.github/actions/tests/run-unit-tests;.github/actions/tests/run-unit-tests/action.yml;packages/bruno-app/src/components/CodeEditor/index.spec.js;packages/bruno-app/src/components/CodeSnippet/index.spec.js;packages/bruno-app/src/components/CollectionSettings/Tests,.github/workflows/auth-tests.yml;.github/workflows/flaky-test-detector.yml;.github/workflows/lint-checks.yml;.github/workflows/npm-bru-cli.yml;.github/workflows/ssl-tests.yml;.github/workflows/tests.yml,.github/ISSUE_TEMPLATE/BugReport.yaml;.github/ISSUE_TEMPLATE/FeatureRequest.yaml;.github/ISSUE_TEMPLATE/config.yaml;.github/PULL_REQUEST_TEMPLATE.md;contributing.md;security.md,False,3899,data\raw\repo_metadata\usebruno_bruno_quality_screen_snapshot.json,,,,,,data\interim\quality_screened_candidates\javascript_candidates_filtered.csv,55,JavaScript,"{""Bru"":294819,""CSS"":11794,""HTML"":39753,""JavaScript"":7707957,""Shell"":1329,""TypeScript"":1708669}",7707957,9764321,0.7,True,enriched,,data\interim\enriched_candidates\candidate_enrichment_results.csv,55,data\interim\final_candidate_screen\final_eligible_candidate_pool.csv,24,default_branch_commit_count_in_window,False,2142,high,1,14,final_study_sampling,reserve,1
bigskysoftware/htmx,JavaScript,0.9207016550744946,822,360,True,True,True,True,True,,False,,,255378816,MDEwOlJlcG9zaXRvcnkyNTUzNzg4MTY=,htmx,bigskysoftware/htmx,https://github.com/bigskysoftware/htmx,</> htmx - high power tools for HTML,JavaScript,47907,47907,1588,655,False,False,True,False,2020-04-13T16:17:51Z,2026-04-28T18:28:32Z,2026-04-26T03:01:00Z,master,bigskysoftware,Organization,NOASSERTION,data\raw\candidate_repos\javascript_candidates_raw.json,50,screened,final_sample_only,4,3,,True,True,True,True,2025-01-01,5,True,True,True,src/htmx.test.ts;test;test/attributes;test/attributes/hx-boost.js;test/attributes/hx-confirm.js;test/attributes/hx-delete.js;test/attributes/hx-disabled-elt.js;test/attributes/hx-disinherit.js;test/attributes/hx-ext.js;test/attributes/hx-get.js,.github/workflows/ci.yml,.github/PULL_REQUEST_TEMPLATE.md;CONTRIBUTING.md;SECURITY.md,False,765,data\raw\repo_metadata\bigskysoftware_htmx_quality_screen_snapshot.json,,,,,,data\interim\quality_screened_candidates\javascript_candidates_filtered.csv,43,JavaScript,"{""CSS"":8768,""HTML"":152462,""JavaScript"":1984287,""Ruby"":2660,""Shell"":1723,""TypeScript"":5290}",1984287,2155190,0.7,True,enriched,,data\interim\enriched_candidates\candidate_enrichment_results.csv,43,data\interim\final_candidate_screen\final_eligible_candidate_pool.csv,17,default_branch_commit_count_in_window,False,822,high,1,35,final_study_sampling,reserve,2
fastify/fastify,JavaScript,0.9147774036277558,663,253,True,True,True,True,True,,False,,,69495170,MDEwOlJlcG9zaXRvcnk2OTQ5NTE3MA==,fastify,fastify/fastify,https://github.com/fastify/fastify,"Fast and low overhead web framework, for Node.js",JavaScript,36139,36139,2669,127,False,False,True,False,2016-09-28T19:10:14Z,2026-04-28T14:33:42Z,2026-04-28T06:56:08Z,main,fastify,Organization,MIT,data\raw\candidate_repos\javascript_candidates_raw.json,84,screened,final_sample_only,4,3,,True,True,True,True,2025-01-01,5,True,True,True,integration;integration/server.js;integration/test.sh;test;test/404s.test.js;test/500s.test.js;test/allow-unsafe-regex.test.js;test/als.test.js;test/async-await.test.js;test/async-dispose.test.js,.github/workflows/backport.yml;.github/workflows/ci-alternative-runtime.yml;.github/workflows/ci.yml;.github/workflows/citgm-package.yml;.github/workflows/citgm.yml;.github/workflows/coverage-nix.yml;.github/workflows/coverage-win.yml;.github/workflows/integration-alternative-runtimes.yml;.github/workflows/integration.yml;.github/workflows/labeler.yml,CODE_OF_CONDUCT.md;CONTRIBUTING.md;GOVERNANCE.md;SECURITY.md;docs/Guides/Contributing.md,False,420,data\raw\repo_metadata\fastify_fastify_quality_screen_snapshot.json,,,,,,data\interim\quality_screened_candidates\javascript_candidates_filtered.csv,74,JavaScript,"{""JavaScript"":1776119,""Shell"":911,""TypeScript"":164556}",1776119,1941586,0.7,True,enriched,,data\interim\enriched_candidates\candidate_enrichment_results.csv,74,data\interim\final_candidate_screen\final_eligible_candidate_pool.csv,33,default_branch_commit_count_in_window,False,663,high,1,41,final_study_sampling,reserve,3
axios/axios,JavaScript,0.8799669064695914,301,787,True,True,True,True,True,,False,,,23088740,MDEwOlJlcG9zaXRvcnkyMzA4ODc0MA==,axios,axios/axios,https://github.com/axios/axios,Promise based HTTP client for the browser and node.js,JavaScript,109027,109027,11657,181,False,False,True,False,2014-08-18T22:30:27Z,2026-04-28T18:31:42Z,2026-04-28T17:44:40Z,v1.x,axios,Organization,MIT,data\raw\candidate_repos\javascript_candidates_raw.json,8,screened,final_sample_only,4,3,,True,True,True,True,2025-01-01,5,True,True,True,tests;tests/README.md;tests/browser;tests/browser/adapter.browser.test.js;tests/browser/basicAuth.browser.test.js;tests/browser/cancel.browser.test.js;tests/browser/cancelToken.browser.test.js;tests/browser/cookies.browser.test.js;tests/browser/defaults.browser.test.js;tests/browser/formdata.browser.test.js,.github/workflows/lockfile-lint.yml;.github/workflows/moderator.yml;.github/workflows/publish.yml;.github/workflows/release-branch.yml;.github/workflows/run-ci.yml;.github/workflows/update-sponsor-block.yml;.github/workflows/verify-build-reproducibility.yml;.github/workflows/zizmor.yml,.github/PULL_REQUEST_TEMPLATE.md;CODE_OF_CONDUCT.md;CONTRIBUTING.md;SECURITY.md;docs/es/pages/misc/security.md;docs/fr/pages/misc/security.md;docs/pages/misc/security.md;docs/zh/pages/misc/security.md,False,523,data\raw\repo_metadata\axios_axios_quality_screen_snapshot.json,,,,,,data\interim\quality_screened_candidates\javascript_candidates_filtered.csv,8,JavaScript,"{""HTML"":14126,""JavaScript"":726447,""TypeScript"":84966}",726447,825539,0.7,True,enriched,,data\interim\enriched_candidates\candidate_enrichment_results.csv,8,data\interim\final_candidate_screen\final_eligible_candidate_pool.csv,1,default_branch_commit_count_in_window,False,301,medium,2,19,final_study_sampling,reserve,1
nextapps-de/flexsearch,JavaScript,1.0,272,122,True,True,True,True,True,,False,,,122835005,MDEwOlJlcG9zaXRvcnkxMjI4MzUwMDU=,flexsearch,nextapps-de/flexsearch,https://github.com/nextapps-de/flexsearch,Next-generation full-text search library for Browser and Node.js,JavaScript,13681,13681,523,30,False,False,True,False,2018-02-25T12:40:24Z,2026-04-28T13:57:38Z,2026-02-27T05:21:14Z,master,nextapps-de,Organization,Apache-2.0,data\raw\candidate_repos\javascript_candidates_raw.json,360,screened,final_sample_only,4,3,,True,True,True,True,2025-01-01,5,True,True,True,test;test/.c8rc.json;test/async.js;test/basic.js;test/cache.js;test/context.js;test/debug.js;test/document.js;test/document.tag.js;test/encoder.js,.github/workflows/node.js.yml,SECURITY.md,False,604,data\raw\repo_metadata\nextapps_de_flexsearch_quality_screen_snapshot.json,,,,,,data\interim\quality_screened_candidates\javascript_candidates_filtered.csv,301,JavaScript,"{""JavaScript"":491093}",491093,491093,0.7,True,enriched,,data\interim\enriched_candidates\candidate_enrichment_results.csv,301,data\interim\final_candidate_screen\final_eligible_candidate_pool.csv,112,default_branch_commit_count_in_window,False,272,medium,2,22,final_study_sampling,reserve,2
pinojs/pino,JavaScript,0.9247474644131148,205,151,True,True,True,True,True,,False,,,51840802,MDEwOlJlcG9zaXRvcnk1MTg0MDgwMg==,pino,pinojs/pino,https://github.com/pinojs/pino,"🌲 super fast, all natural json logger",JavaScript,17753,17753,953,141,False,False,True,False,2016-02-16T14:14:29Z,2026-04-28T16:37:12Z,2026-04-24T14:49:09Z,main,pinojs,Organization,MIT,data\raw\candidate_repos\javascript_candidates_raw.json,239,screened,final_sample_only,4,3,,True,True,True,True,2025-01-01,5,True,True,True,test;test/basic.test.js;test/broken-pipe.test.js;test/browser-child.test.js;test/browser-disabled.test.js;test/browser-early-console-freeze.test.js;test/browser-is-level-enabled.test.js;test/browser-levels.test.js;test/browser-redaction.test.js;test/browser-serializers.test.js,.github/workflows/bench.yml;.github/workflows/ci.yml;.github/workflows/lock-threads.yml;.github/workflows/publish-release.yml;.github/workflows/target-main.yml,CONTRIBUTING.md;SECURITY.md,False,239,data\raw\repo_metadata\pinojs_pino_quality_screen_snapshot.json,,,,,,data\interim\quality_screened_candidates\javascript_candidates_filtered.csv,208,JavaScript,"{""HTML"":1826,""JavaScript"":406740,""Shell"":821,""TypeScript"":30452}",406740,439839,0.7,True,enriched,,data\interim\enriched_candidates\candidate_enrichment_results.csv,208,data\interim\final_candidate_screen\final_eligible_candidate_pool.csv,80,default_branch_commit_count_in_window,False,205,medium,2,30,final_study_sampling,reserve,3
xcanwin/KeepChatGPT,JavaScript,0.8377729896523289,109,147,True,True,True,True,True,,False,,,620458878,R_kgDOJPtzfg,KeepChatGPT,xcanwin/KeepChatGPT,https://github.com/xcanwin/KeepChatGPT,这是一款提高ChatGPT的数据安全能力和效率的插件。并且免费共享大量创新功能，如：自动刷新、保持活跃、数据安全、取消审计、克隆对话、言无不尽、净化页面、展示大屏、拦截跟踪、日新月异、明察秋毫等。让我们的AI体验无比安全、顺畅、丝滑、高效、简洁。,JavaScript,14901,14901,741,122,False,False,True,False,2023-03-28T18:12:33Z,2026-04-28T10:50:23Z,2026-04-09T23:07:17Z,main,xcanwin,User,GPL-2.0,data\raw\candidate_repos\javascript_candidates_raw.json,315,screened,final_sample_only,4,3,,True,True,True,True,2025-01-01,5,True,False,False,tests;tests/KeepChatGPT.test.js;tests/dev-server.test.js;tests/setup.js,,,False,44,data\raw\repo_metadata\xcanwin_keepchatgpt_quality_screen_snapshot.json,,,,,,data\interim\quality_screened_candidates\javascript_candidates_filtered.csv,265,JavaScript,"{""JavaScript"":157472,""Python"":30493}",157472,187965,0.7,True,enriched,,data\interim\enriched_candidates\candidate_enrichment_results.csv,265,data\interim\final_candidate_screen\final_eligible_candidate_pool.csv,101,default_branch_commit_count_in_window,False,109,low,3,16,final_study_sampling,reserve,1
mdx-js/mdx,JavaScript,0.9999543778009398,102,51,True,True,True,True,True,,False,,,115229134,MDEwOlJlcG9zaXRvcnkxMTUyMjkxMzQ=,mdx,mdx-js/mdx,https://github.com/mdx-js/mdx,Markdown for the component era,JavaScript,19454,19454,1183,24,False,False,True,False,2017-12-24T00:01:48Z,2026-04-28T13:36:59Z,2026-04-28T13:11:32Z,main,mdx-js,Organization,MIT,data\raw\candidate_repos\javascript_candidates_raw.json,211,screened,final_sample_only,4,3,,True,True,True,True,2025-01-01,5,True,True,False,packages/esbuild/test;packages/esbuild/test/index.js;packages/loader/test;packages/loader/test/index.js;packages/mdx/test;packages/mdx/test/compile.js;packages/mdx/test/context;packages/mdx/test/context/components.js;packages/mdx/test/context/data.js;packages/mdx/test/context/run.js,.github/workflows/bb.yml;.github/workflows/main.yml;.github/workflows/website.yml,,False,227,data\raw\repo_metadata\mdx_js_mdx_quality_screen_snapshot.json,,,,,,data\interim\quality_screened_candidates\javascript_candidates_filtered.csv,184,JavaScript,"{""JavaScript"":284936,""MDX"":13}",284936,284949,0.7,True,enriched,,data\interim\enriched_candidates\candidate_enrichment_results.csv,184,data\interim\final_candidate_screen\final_eligible_candidate_pool.csv,75,default_branch_commit_count_in_window,False,102,low,3,19,final_study_sampling,reserve,2
hubotio/hubot,JavaScript,0.9914020544523542,67,33,True,True,True,True,True,,False,,,2278524,MDEwOlJlcG9zaXRvcnkyMjc4NTI0,hubot,hubotio/hubot,https://github.com/hubotio/hubot,A customizable life embetterment robot.,JavaScript,16783,16783,3719,6,False,False,True,False,2011-08-27T08:30:59Z,2026-04-26T15:05:31Z,2026-03-30T15:31:31Z,main,hubotio,Organization,MIT,data\raw\candidate_repos\javascript_candidates_raw.json,256,screened,final_sample_only,4,3,,True,True,True,True,2025-01-01,5,True,True,True,script/test;test;test/AdapterName_test.mjs;test/Adapter_test.mjs;test/Brain_test.mjs;test/CommandBus_test.mjs;test/Configuration_test.mjs;test/DataStore_test.mjs;test/Hubot_test.mjs;test/Listener_test.mjs,.github/workflows/nodejs-macos.yml;.github/workflows/nodejs-ubuntu.yml;.github/workflows/nodejs-windows.yml;.github/workflows/pipeline.yml;.github/workflows/sfab-gh-pages.yml,CODE_OF_CONDUCT.md;CONTRIBUTING.md,False,186,data\raw\repo_metadata\hubotio_hubot_quality_screen_snapshot.json,,,,,,data\interim\quality_screened_candidates\javascript_candidates_filtered.csv,223,JavaScript,"{""JavaScript"":254021,""Shell"":2203}",254021,256224,0.7,True,enriched,,data\interim\enriched_candidates\candidate_enrichment_results.csv,223,data\interim\final_candidate_screen\final_eligible_candidate_pool.csv,86,default_branch_commit_count_in_window,False,67,low,3,34,final_study_sampling,reserve,3
elastic/kibana,TypeScript,0.9653617153397912,24726,19471,True,True,True,True,True,,False,,,7833168,MDEwOlJlcG9zaXRvcnk3ODMzMTY4,kibana,elastic/kibana,https://github.com/elastic/kibana,Your window into all of your data,TypeScript,21060,21060,8569,14248,False,False,True,False,2013-01-26T04:00:59Z,2026-04-28T18:39:20Z,2026-04-28T19:08:21Z,main,elastic,Organization,NOASSERTION,data\raw\candidate_repos\typescript_candidates_raw.json,305,screened,final_sample_only,4,3,,True,True,True,True,2025-01-01,5,True,True,True,.buildkite/pipeline-utils/affected-packages/module_lookup.test.ts;.buildkite/pipeline-utils/agent_images.test.ts;.buildkite/pipeline-utils/buildkite/client.test.ts;.buildkite/pipeline-utils/buildkite/parse_link_header.test.ts;.buildkite/pipeline-utils/buildkite/utils.test.ts;.buildkite/pipeline-utils/ci-stats/get_tests_from_config.test.ts;.buildkite/pipeline-utils/github/github.test.ts;.buildkite/pipeline-utils/scout/test_distribution_strategies.test.ts;.buildkite/pipeline-utils/scout/test_tracks.test.ts;.buildkite/pipeline-utils/test-failures/annotate.test.ts,.buildkite/.npmrc;.buildkite/README.md;.buildkite/disabled_jest_configs.json;.buildkite/ftr_base_serverless_configs.yml;.buildkite/ftr_configs_manifests.json;.buildkite/ftr_oblt_serverless_configs.yml;.buildkite/ftr_oblt_stateful_configs.yml;.buildkite/ftr_platform_stateful_configs.yml;.buildkite/ftr_search_serverless_configs.yml;.buildkite/ftr_search_stateful_configs.yml,.github/ISSUE_TEMPLATE/Accessibility.md;.github/ISSUE_TEMPLATE/Bug_report.md;.github/ISSUE_TEMPLATE/Bug_report_security_solution.md;.github/ISSUE_TEMPLATE/Feature_request.yml;.github/ISSUE_TEMPLATE/config.yml;.github/PULL_REQUEST_TEMPLATE.md;CODE_OF_CONDUCT.md;CONTRIBUTING.md;SECURITY.md;docs/extend/contributing.md,True,53013,data\raw\repo_metadata\elastic_kibana_quality_screen_snapshot.json,,,,,,data\interim\quality_screened_candidates\typescript_candidates_filtered.csv,299,TypeScript,"{""ANTLR"":8901,""Batchfile"":5176,""CSS"":203095,""Dockerfile"":16212,""EJS"":15003,""HTML"":18785,""Handlebars"":28471,""JavaScript"":8330461,""MDX"":3163158,""Makefile"":6678,""PEG.js"":20672,""Perl"":12381,""Python"":7624,""SCSS"":58318,""Shell"":665902,""Standard ML"":3033,""TypeScript"":350152417}",350152417,362716287,0.7,True,enriched,,data\interim\enriched_candidates\candidate_enrichment_results.csv,667,data\interim\final_candidate_screen\final_eligible_candidate_pool.csv,319,default_branch_commit_count_in_window,False,24726,high,1,3,final_study_sampling,reserve,1
