language_group,manual_review_flag,manual_review_cues,manual_review_fields,id,node_id,name,full_name,html_url,description,language,stargazers_count,watchers_count,forks_count,open_issues_count,archived,fork,has_issues,private,created_at,updated_at,pushed_at,default_branch,owner_login,owner_type,license_spdx_id,source_file,source_record_index,quality_screen_status,quality_screen_intended_use,quality_screen_pass,quality_screen_score,quality_screen_threshold,quality_screen_failure_reasons,quality_check_not_manual_review_flagged,quality_check_recent_maintenance,quality_check_issue_usage,quality_check_engineering_workflow,quality_recent_push_cutoff_date,quality_open_issues_threshold,quality_signal_has_tests,quality_signal_has_ci,quality_signal_has_community_health_files,quality_signal_matched_test_paths,quality_signal_matched_ci_paths,quality_signal_matched_community_health_paths,quality_tree_truncated,quality_tree_path_count,quality_signal_snapshot_file,quality_screen_error_type,quality_screen_error_message,quality_screen_error_status_code,quality_screen_error_retryable,quality_screen_error_attempts
TypeScript,False,,,28457823,MDEwOlJlcG9zaXRvcnkyODQ1NzgyMw==,freeCodeCamp,freeCodeCamp/freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,"freeCodeCamp.org's open-source codebase and curriculum. Learn math, programming, and computer science for free.",TypeScript,443805,443805,44422,179,False,False,True,False,2014-12-24T17:49:19Z,2026-04-28T18:53:56Z,2026-04-28T17:15:56Z,main,freeCodeCamp,Organization,BSD-3-Clause,data\raw\candidate_repos\typescript_candidates_raw.json,0,screened,final_sample_only,True,4,3,,True,True,True,True,2025-01-01,5,True,True,True,api/src/daily-coding-challenge/routes/daily-coding-challenge.test.ts;api/src/db/extensions.test.ts;api/src/exam-environment/routes/exam-environment.test.ts;api/src/exam-environment/utils/exam-environment.test.ts;api/src/plugins/auth-dev.test.ts;api/src/plugins/auth.test.ts;api/src/plugins/auth0.test.ts;api/src/plugins/bouncer.test.ts;api/src/plugins/cookie-update.test.ts;api/src/plugins/cookies.test.ts,.github/workflows/crowdin-download.client-ui.yml;.github/workflows/crowdin-upload.client-ui.yml;.github/workflows/crowdin-upload.curriculum.yml;.github/workflows/curriculum-i18n-submodule.yml;.github/workflows/deploy-api.yml;.github/workflows/deploy-client.yml;.github/workflows/devcontainer-ci.yml;.github/workflows/docker-docr-cleanup.yml;.github/workflows/docker-docr.yml;.github/workflows/docker-ghcr.yml,.github/ISSUE_TEMPLATE/01--issues-with-coding-challenges.yml;.github/ISSUE_TEMPLATE/02--issues-with-software-on-platforms.yml;.github/ISSUE_TEMPLATE/03--issues-with-content-on-articles-and-docs.yml;.github/ISSUE_TEMPLATE/04--feature-request-for-freecodecamp-org-s-platforms.yml;.github/ISSUE_TEMPLATE/config.yml;.github/PULL_REQUEST_TEMPLATE.md,False,20229,data\raw\repo_metadata\freecodecamp_freecodecamp_quality_screen_snapshot.json,,,,,
TypeScript,False,,,1103012935,R_kgDOQb6kRw,openclaw,openclaw/openclaw,https://github.com/openclaw/openclaw,Your own personal AI assistant. Any OS. Any Platform. The lobster way. 🦞 ,TypeScript,365816,365816,74983,6949,False,False,True,False,2025-11-24T10:16:47Z,2026-04-28T19:09:16Z,2026-04-28T19:08:35Z,main,openclaw,Organization,MIT,data\raw\candidate_repos\typescript_candidates_raw.json,1,screened,final_sample_only,True,4,3,,True,True,True,True,2025-01-01,5,True,True,True,Swabble/Tests;Swabble/Tests/SwabbleKitTests;Swabble/Tests/SwabbleKitTests/WakeWordGateTests.swift;Swabble/Tests/swabbleTests;Swabble/Tests/swabbleTests/ConfigTests.swift;apps/android/app/src/test;apps/android/app/src/test/java;apps/android/app/src/test/java/ai;apps/android/app/src/test/java/ai/openclaw;apps/android/app/src/test/java/ai/openclaw/app,.github/workflows/auto-response.yml;.github/workflows/ci-build-artifacts-testbox.yml;.github/workflows/ci-check-testbox.yml;.github/workflows/ci.yml;.github/workflows/clawsweeper-dispatch.yml;.github/workflows/codeql-android-critical-security.yml;.github/workflows/codeql-critical-quality.yml;.github/workflows/codeql-macos-critical-security.yml;.github/workflows/codeql.yml;.github/workflows/control-ui-locale-refresh.yml,.github/ISSUE_TEMPLATE/bug_report.yml;.github/ISSUE_TEMPLATE/config.yml;.github/ISSUE_TEMPLATE/feature_request.yml;.github/pull_request_template.md;CONTRIBUTING.md;SECURITY.md;docs/cli/security.md;vendor/a2ui/CONTRIBUTING.md,False,17673,data\raw\repo_metadata\openclaw_openclaw_quality_screen_snapshot.json,,,,,
TypeScript,False,,,85077558,MDEwOlJlcG9zaXRvcnk4NTA3NzU1OA==,developer-roadmap,nilbuild/developer-roadmap,https://github.com/nilbuild/developer-roadmap,"Interactive roadmaps, guides and other educational content to help developers grow in their careers.",TypeScript,353830,353830,43978,16,False,False,True,False,2017-03-15T13:45:52Z,2026-04-28T19:00:32Z,2026-04-27T15:19:00Z,master,nilbuild,User,NOASSERTION,data\raw\candidate_repos\typescript_candidates_raw.json,2,screened,final_sample_only,True,4,3,,True,True,True,True,2025-01-01,5,True,True,True,tests;tests/guides.spec.ts;tests/guides.spec.ts-snapshots;tests/guides.spec.ts-snapshots/guides-1-chromium-darwin.png;tests/index.spec.ts;tests/index.spec.ts-snapshots;tests/index.spec.ts-snapshots/homepage-test-1-chromium-darwin.png;tests/roadmap.spec.ts;tests/roadmap.spec.ts-snapshots;tests/roadmap.spec.ts-snapshots/roadmap-android-1-chromium-darwin.png,.github/workflows/aws-costs.yml;.github/workflows/cleanup-orphaned-content.yml;.github/workflows/close-feedback-pr.yml;.github/workflows/cloudfront-api-cache.yml;.github/workflows/cloudfront-fe-cache.yml;.github/workflows/deployment.yml;.github/workflows/label-issue.yml;.github/workflows/sync-content-to-repo.yml;.github/workflows/sync-repo-to-database.yml;.github/workflows/upgrade-dependencies.yml,.github/ISSUE_TEMPLATE/01-suggest-changes.yml;.github/ISSUE_TEMPLATE/02-bug-report.yml;.github/ISSUE_TEMPLATE/03-feature-suggestion.yml;.github/ISSUE_TEMPLATE/04-roadmap-contribution.yml;.github/ISSUE_TEMPLATE/05-something-else.yml;.github/ISSUE_TEMPLATE/config.yml;code_of_conduct.md;contributing.md,False,12553,data\raw\repo_metadata\nilbuild_developer_roadmap_quality_screen_snapshot.json,,,,,
TypeScript,False,,,11730342,MDEwOlJlcG9zaXRvcnkxMTczMDM0Mg==,vue,vuejs/vue,https://github.com/vuejs/vue,"This is the repo for Vue 2. For Vue 3, go to https://github.com/vuejs/core",TypeScript,209808,209808,33842,622,False,False,True,False,2013-07-29T03:24:51Z,2026-04-28T18:32:34Z,2024-10-10T07:24:15Z,main,vuejs,Organization,MIT,data\raw\candidate_repos\typescript_candidates_raw.json,3,screened,final_sample_only,True,3,3,,True,False,True,True,2025-01-01,5,True,True,True,packages/compiler-sfc/test;packages/compiler-sfc/test/__snapshots__;packages/compiler-sfc/test/__snapshots__/compileScript.spec.ts.snap;packages/compiler-sfc/test/__snapshots__/cssVars.spec.ts.snap;packages/compiler-sfc/test/compileScript.spec.ts;packages/compiler-sfc/test/compileStyle.spec.ts;packages/compiler-sfc/test/compileTemplate.spec.ts;packages/compiler-sfc/test/cssVars.spec.ts;packages/compiler-sfc/test/parseComponent.spec.ts;packages/compiler-sfc/test/prefixIdentifiers.spec.ts,.github/workflows/ci.yml;.github/workflows/release-tag.yml,.github/CODE_OF_CONDUCT.md;.github/CONTRIBUTING.md;.github/ISSUE_TEMPLATE/config.yml;.github/PULL_REQUEST_TEMPLATE.md,False,612,data\raw\repo_metadata\vuejs_vue_quality_screen_snapshot.json,,,,,
TypeScript,False,,,193215554,MDEwOlJlcG9zaXRvcnkxOTMyMTU1NTQ=,n8n,n8n-io/n8n,https://github.com/n8n-io/n8n,"Fair-code workflow automation platform with native AI capabilities. Combine visual building with custom code, self-host or cloud, 400+ integrations.",TypeScript,185971,185971,57193,1543,False,False,True,False,2019-06-22T09:24:21Z,2026-04-28T19:03:46Z,2026-04-28T18:54:24Z,master,n8n-io,Organization,NOASSERTION,data\raw\candidate_repos\typescript_candidates_raw.json,4,screened,final_sample_only,True,4,3,,True,True,True,True,2025-01-01,5,True,True,True,.github/actions/ci-filter/__tests__;.github/actions/ci-filter/__tests__/ci-filter.test.ts;.github/scripts/cleanup-release-branch.test.mjs;.github/scripts/compute-backport-targets.test.mjs;.github/scripts/determine-release-version-changes.test.mjs;.github/scripts/determine-version-info.test.mjs;.github/scripts/ensure-release-candidate-branches.test.mjs;.github/scripts/quality/check-ownership-checkbox.test.mjs;.github/scripts/quality/check-pr-size.test.mjs;packages/@n8n/agents/src/__tests__,.github/workflows/backport.yml;.github/workflows/build-base-image.yml;.github/workflows/build-benchmark-image.yml;.github/workflows/build-windows.yml;.github/workflows/ci-check-pr-title.yml;.github/workflows/ci-check-release-from-fork.yml;.github/workflows/ci-detect-new-packages.yml;.github/workflows/ci-master.yml;.github/workflows/ci-pr-quality.yml;.github/workflows/ci-pull-request-review.yml,.github/ISSUE_TEMPLATE/01-bug.yml;.github/ISSUE_TEMPLATE/config.yml;.github/pull_request_template.md;CODE_OF_CONDUCT.md;CONTRIBUTING.md;SECURITY.md;packages/testing/playwright/CONTRIBUTING.md,False,22053,data\raw\repo_metadata\n8n_io_n8n_quality_screen_snapshot.json,,,,,
TypeScript,False,,,41881900,MDEwOlJlcG9zaXRvcnk0MTg4MTkwMA==,vscode,microsoft/vscode,https://github.com/microsoft/vscode,Visual Studio Code,TypeScript,184357,184357,39510,16790,False,False,True,False,2015-09-03T20:23:38Z,2026-04-28T19:00:54Z,2026-04-28T19:08:08Z,main,microsoft,Organization,MIT,data\raw\candidate_repos\typescript_candidates_raw.json,5,screened,final_sample_only,True,4,3,,True,True,True,True,2025-01-01,5,True,True,True,.eslint-plugin-local/tests;.eslint-plugin-local/tests/code-no-observable-get-in-reactive-context-test.ts;.eslint-plugin-local/tests/code-no-reader-after-await-test.ts;.vscode/extensions/vscode-selfhost-test-provider/src/v8CoverageWrangling.test.ts;build/lib/test;build/lib/test/booleanPolicy.test.ts;build/lib/test/checkCyclicDependencies.test.ts;build/lib/test/fixtures;build/lib/test/fixtures/policies;build/lib/test/fixtures/policies/darwin,.github/workflows/api-proposal-version-check.yml;.github/workflows/chat-lib-package.yml;.github/workflows/chat-perf.yml;.github/workflows/check-clean-git-state.sh;.github/workflows/component-fixture-tests.yml;.github/workflows/copilot-setup-steps.yml;.github/workflows/monaco-editor.yml;.github/workflows/no-engineering-system-changes.yml;.github/workflows/pr-darwin-test.yml;.github/workflows/pr-linux-cli-test.yml,.github/ISSUE_TEMPLATE/bug_report.md;.github/ISSUE_TEMPLATE/config.yml;.github/ISSUE_TEMPLATE/copilot_bug_report.md;.github/ISSUE_TEMPLATE/feature_request.md;.github/pull_request_template.md;CONTRIBUTING.md;SECURITY.md;cli/CONTRIBUTING.md;extensions/CONTRIBUTING.md;extensions/copilot/CODE_OF_CONDUCT.md,False,18335,data\raw\repo_metadata\microsoft_vscode_quality_screen_snapshot.json,,,,,
TypeScript,False,,,975734319,R_kgDOOiiGLw,opencode,anomalyco/opencode,https://github.com/anomalyco/opencode,The open source coding agent.,TypeScript,151267,151267,17392,6177,False,False,True,False,2025-04-30T20:08:00Z,2026-04-28T19:09:04Z,2026-04-28T18:53:18Z,dev,anomalyco,Organization,MIT,data\raw\candidate_repos\typescript_candidates_raw.json,6,screened,final_sample_only,True,4,3,,True,True,True,True,2025-01-01,5,True,True,True,packages/app/e2e;packages/app/e2e/todo.spec.ts;packages/app/e2e/tsconfig.json;packages/app/src/addons/serialize.test.ts;packages/app/src/components/dialog-custom-provider.test.ts;packages/app/src/components/file-tree.test.ts;packages/app/src/components/prompt-input/attachments.test.ts;packages/app/src/components/prompt-input/build-request-parts.test.ts;packages/app/src/components/prompt-input/editor-dom.test.ts;packages/app/src/components/prompt-input/history.test.ts,.github/workflows/beta.yml;.github/workflows/close-issues.yml;.github/workflows/close-stale-prs.yml;.github/workflows/compliance-close.yml;.github/workflows/containers.yml;.github/workflows/daily-issues-recap.yml;.github/workflows/daily-pr-recap.yml;.github/workflows/deploy.yml;.github/workflows/docs-locale-sync.yml;.github/workflows/docs-update.yml,.github/ISSUE_TEMPLATE/bug-report.yml;.github/ISSUE_TEMPLATE/config.yml;.github/ISSUE_TEMPLATE/feature-request.yml;.github/ISSUE_TEMPLATE/question.yml;.github/pull_request_template.md;CONTRIBUTING.md;SECURITY.md,False,5198,data\raw\repo_metadata\anomalyco_opencode_quality_screen_snapshot.json,,,,,
TypeScript,False,,,626805178,R_kgDOJVxJug,dify,langgenius/dify,https://github.com/langgenius/dify,Production-ready platform for agentic workflow development.,TypeScript,139515,139515,21875,829,False,False,True,False,2023-04-12T07:40:24Z,2026-04-28T18:50:28Z,2026-04-28T11:10:50Z,main,langgenius,Organization,NOASSERTION,data\raw\candidate_repos\typescript_candidates_raw.json,7,screened,final_sample_only,True,4,3,,True,True,True,True,2025-01-01,5,True,True,True,api/providers/trace/trace-aliyun/tests;api/providers/trace/trace-aliyun/tests/unit_tests;api/providers/trace/trace-aliyun/tests/unit_tests/aliyun_trace;api/providers/trace/trace-aliyun/tests/unit_tests/aliyun_trace/data_exporter;api/providers/trace/trace-aliyun/tests/unit_tests/aliyun_trace/data_exporter/test_traceclient.py;api/providers/trace/trace-aliyun/tests/unit_tests/aliyun_trace/entities;api/providers/trace/trace-aliyun/tests/unit_tests/aliyun_trace/entities/test_aliyun_trace_entity.py;api/providers/trace/trace-aliyun/tests/unit_tests/aliyun_trace/entities/test_semconv.py;api/providers/trace/trace-aliyun/tests/unit_tests/aliyun_trace/test_aliyun_trace.py;api/providers/trace/trace-aliyun/tests/unit_tests/aliyun_trace/test_aliyun_trace_utils.py,.github/workflows/api-tests.yml;.github/workflows/autofix.yml;.github/workflows/build-push.yml;.github/workflows/db-migration-test.yml;.github/workflows/deploy-agent-dev.yml;.github/workflows/deploy-dev.yml;.github/workflows/deploy-enterprise.yml;.github/workflows/deploy-hitl.yml;.github/workflows/docker-build.yml;.github/workflows/expose_service_ports.sh,.github/CODE_OF_CONDUCT.md;.github/ISSUE_TEMPLATE/bug_report.yml;.github/ISSUE_TEMPLATE/config.yml;.github/ISSUE_TEMPLATE/feature_request.yml;.github/ISSUE_TEMPLATE/refactor.yml;.github/pull_request_template.md;CONTRIBUTING.md;docs/de-DE/CONTRIBUTING.md;docs/es-ES/CONTRIBUTING.md;docs/fr-FR/CONTRIBUTING.md,False,14156,data\raw\repo_metadata\langgenius_dify_quality_screen_snapshot.json,,,,,
TypeScript,False,,,62607227,MDEwOlJlcG9zaXRvcnk2MjYwNzIyNw==,tech-interview-handbook,yangshun/tech-interview-handbook,https://github.com/yangshun/tech-interview-handbook,Curated coding interview preparation materials for busy software engineers,TypeScript,139064,139064,16534,44,False,False,True,False,2016-07-05T05:00:48Z,2026-04-28T17:21:52Z,2026-04-05T23:58:25Z,main,yangshun,User,MIT,data\raw\candidate_repos\typescript_candidates_raw.json,8,screened,final_sample_only,True,4,3,,True,True,True,True,2025-01-01,5,False,True,True,,.github/workflows/lint.yml;.github/workflows/tsc.yml,CODE_OF_CONDUCT.md;CONTRIBUTING.md,False,805,data\raw\repo_metadata\yangshun_tech_interview_handbook_quality_screen_snapshot.json,,,,,
TypeScript,False,,,231283452,MDEwOlJlcG9zaXRvcnkyMzEyODM0NTI=,excalidraw,excalidraw/excalidraw,https://github.com/excalidraw/excalidraw,Virtual whiteboard for sketching hand-drawn like diagrams,TypeScript,122133,122133,13448,3019,False,False,True,False,2020-01-02T01:04:43Z,2026-04-28T19:08:22Z,2026-04-28T16:27:34Z,master,excalidraw,Organization,MIT,data\raw\candidate_repos\typescript_candidates_raw.json,9,screened,final_sample_only,True,4,3,,True,True,True,True,2025-01-01,5,True,True,True,excalidraw-app/tests;excalidraw-app/tests/LanguageList.test.tsx;excalidraw-app/tests/MobileMenu.test.tsx;excalidraw-app/tests/__snapshots__;excalidraw-app/tests/__snapshots__/MobileMenu.test.tsx.snap;excalidraw-app/tests/collab.test.tsx;packages/common/src/__snapshots__/colors.test.ts.snap;packages/common/src/appEventBus.test.ts;packages/common/src/colors.test.ts;packages/common/src/utils.test.ts,.github/workflows/autorelease-excalidraw.yml;.github/workflows/build-docker.yml;.github/workflows/cancel.yml;.github/workflows/lint.yml;.github/workflows/locales-coverage.yml;.github/workflows/publish-docker.yml;.github/workflows/semantic-pr-title.yml;.github/workflows/sentry-production.yml;.github/workflows/size-limit.yml;.github/workflows/test-coverage-pr.yml,CONTRIBUTING.md,False,1362,data\raw\repo_metadata\excalidraw_excalidraw_quality_screen_snapshot.json,,,,,
