repository_full_name,language_group,eligible_for_rq1,eligible_for_rq2,sample_manifest_file,commit_source_file,issue_source_file,total_commits_in_window,bug_fix_commit_count,bug_fix_commit_ratio,total_closed_issues_in_window_considered,bug_related_issue_count,bug_related_issue_duration_count,invalid_bug_related_issue_duration_count,median_bug_issue_resolution_time_days
SillyTavern/SillyTavern,JavaScript,True,True,data\interim\final_sample\final_sample.csv,data\interim\final_sample\raw_commits\sillytavern_sillytavern_commits_raw.json,data\interim\final_sample\raw_issues\sillytavern_sillytavern_issues_raw.json,8047,101,0.012551261339629676,1302,662,662,0,5.612060185185185
fanmingming/live,JavaScript,True,True,data\interim\final_sample\final_sample.csv,data\interim\final_sample\raw_commits\fanmingming_live_commits_raw.json,data\interim\final_sample\raw_issues\fanmingming_live_issues_raw.json,4836,0,0.0,123,84,84,0,1.288449074074074
automatisch/automatisch,JavaScript,True,True,data\interim\final_sample\final_sample.csv,data\interim\final_sample\raw_commits\automatisch_automatisch_commits_raw.json,data\interim\final_sample\raw_issues\automatisch_automatisch_issues_raw.json,2551,22,0.00862406899255194,70,15,15,0,116.70347222222222
openlayers/openlayers,JavaScript,True,True,data\interim\final_sample\final_sample.csv,data\interim\final_sample\raw_commits\openlayers_openlayers_commits_raw.json,data\interim\final_sample\raw_issues\openlayers_openlayers_issues_raw.json,2276,22,0.009666080843585237,374,312,312,0,2.0403414351851854
playcanvas/engine,JavaScript,True,True,data\interim\final_sample\final_sample.csv,data\interim\final_sample\raw_commits\playcanvas_engine_commits_raw.json,data\interim\final_sample\raw_issues\playcanvas_engine_issues_raw.json,1619,43,0.026559604694255712,448,86,86,0,15.155202546296296
eslint/eslint,JavaScript,True,True,data\interim\final_sample\final_sample.csv,data\interim\final_sample\raw_commits\eslint_eslint_commits_raw.json,data\interim\final_sample\raw_issues\eslint_eslint_issues_raw.json,1269,59,0.046493301812450746,946,572,572,0,2.683778935185185
phaserjs/phaser,JavaScript,True,True,data\interim\final_sample\final_sample.csv,data\interim\final_sample\raw_commits\phaserjs_phaser_commits_raw.json,data\interim\final_sample\raw_issues\phaserjs_phaser_issues_raw.json,1261,37,0.029341792228390166,391,224,224,0,61.22531828703704
gethomepage/homepage,JavaScript,True,True,data\interim\final_sample\final_sample.csv,data\interim\final_sample\raw_commits\gethomepage_homepage_commits_raw.json,data\interim\final_sample\raw_issues\gethomepage_homepage_issues_raw.json,903,18,0.019933554817275746,72,69,69,0,0.013425925925925926
drawdb-io/drawdb,JavaScript,True,True,data\interim\final_sample\final_sample.csv,data\interim\final_sample\raw_commits\drawdb_io_drawdb_commits_raw.json,data\interim\final_sample\raw_issues\drawdb_io_drawdb_issues_raw.json,839,21,0.025029797377830752,208,94,94,0,1.7247858796296296
wanglin2/mind-map,JavaScript,True,True,data\interim\final_sample\final_sample.csv,data\interim\final_sample\raw_commits\wanglin2_mind_map_commits_raw.json,data\interim\final_sample\raw_issues\wanglin2_mind_map_issues_raw.json,770,0,0.0,689,47,47,0,0.8243171296296297
philc/vimium,JavaScript,True,True,data\interim\final_sample\final_sample.csv,data\interim\final_sample\raw_commits\philc_vimium_commits_raw.json,data\interim\final_sample\raw_issues\philc_vimium_issues_raw.json,445,10,0.02247191011235955,205,84,84,0,42.21885416666667
parcel-bundler/parcel,JavaScript,True,True,data\interim\final_sample\final_sample.csv,data\interim\final_sample\raw_commits\parcel_bundler_parcel_commits_raw.json,data\interim\final_sample\raw_issues\parcel_bundler_parcel_issues_raw.json,402,21,0.05223880597014925,481,388,388,0,206.7621238425926
spicetify/cli,JavaScript,True,True,data\interim\final_sample\final_sample.csv,data\interim\final_sample\raw_commits\spicetify_cli_commits_raw.json,data\interim\final_sample\raw_issues\spicetify_cli_issues_raw.json,363,4,0.011019283746556474,606,541,541,0,0.007314814814814815
