id,node_id,name,full_name,html_url,description,language,stargazers_count,watchers_count,forks_count,open_issues_count,archived,fork,created_at,updated_at,pushed_at,default_branch,owner_login,owner_type,license_spdx_id
10270250,MDEwOlJlcG9zaXRvcnkxMDI3MDI1MA==,react,facebook/react,https://github.com/facebook/react,The library for web and native user interfaces.,JavaScript,244750,244750,50994,1256,False,False,2013-05-24T16:15:54Z,2026-04-28T18:58:51Z,2026-04-27T21:50:04Z,main,facebook,Organization,MIT
126577260,MDEwOlJlcG9zaXRvcnkxMjY1NzcyNjA=,javascript-algorithms,trekhleb/javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,📝 Algorithms and data structures implemented in JavaScript with explanations and links to further readings,JavaScript,195895,195895,31090,403,False,False,2018-03-24T07:47:04Z,2026-04-28T18:13:30Z,2026-02-18T09:20:06Z,master,trekhleb,User,MIT
1136590548,R_kgDOQ77-1A,everything-claude-code,affaan-m/everything-claude-code,https://github.com/affaan-m/everything-claude-code,"The agent harness performance optimization system. Skills, instincts, memory, security, and research-first development for Claude Code, Codex, Opencode, Cursor and beyond.",JavaScript,169209,169209,26220,184,False,False,2026-01-18T00:51:51Z,2026-04-28T19:07:33Z,2026-04-26T04:53:53Z,main,affaan-m,User,MIT
6498492,MDEwOlJlcG9zaXRvcnk2NDk4NDky,javascript,airbnb/javascript,https://github.com/airbnb/javascript,JavaScript Style Guide,JavaScript,148122,148122,26705,159,False,False,2012-11-01T23:13:50Z,2026-04-28T18:32:59Z,2026-04-16T19:24:09Z,master,airbnb,Organization,MIT
70107786,MDEwOlJlcG9zaXRvcnk3MDEwNzc4Ng==,next.js,vercel/next.js,https://github.com/vercel/next.js,The React Framework,JavaScript,139209,139209,30984,3863,False,False,2016-10-05T23:32:51Z,2026-04-28T18:42:28Z,2026-04-28T18:57:58Z,canary,vercel,Organization,MIT
112507086,MDEwOlJlcG9zaXRvcnkxMTI1MDcwODY=,30-seconds-of-code,Chalarangelo/30-seconds-of-code,https://github.com/Chalarangelo/30-seconds-of-code,Coding articles to level up your development skills,JavaScript,127615,127615,12481,1,False,False,2017-11-29T17:35:03Z,2026-04-28T18:37:49Z,2026-04-21T22:12:54Z,master,Chalarangelo,User,CC-BY-4.0
27193779,MDEwOlJlcG9zaXRvcnkyNzE5Mzc3OQ==,node,nodejs/node,https://github.com/nodejs/node,Node.js JavaScript runtime ✨🐢🚀✨,JavaScript,116963,116963,35453,2644,False,False,2014-11-26T19:57:11Z,2026-04-28T19:09:01Z,2026-04-28T18:48:27Z,main,nodejs,Organization,NOASSERTION
576201,MDEwOlJlcG9zaXRvcnk1NzYyMDE=,three.js,mrdoob/three.js,https://github.com/mrdoob/three.js,JavaScript 3D Library.,JavaScript,112219,112219,36357,521,False,False,2010-03-23T18:58:01Z,2026-04-28T16:15:15Z,2026-04-28T16:15:05Z,dev,mrdoob,User,MIT
23088740,MDEwOlJlcG9zaXRvcnkyMzA4ODc0MA==,axios,axios/axios,https://github.com/axios/axios,Promise based HTTP client for the browser and node.js,JavaScript,109027,109027,11657,181,False,False,2014-08-18T22:30:27Z,2026-04-28T18:31:42Z,2026-04-28T17:44:40Z,v1.x,axios,Organization,MIT
63537249,MDEwOlJlcG9zaXRvcnk2MzUzNzI0OQ==,create-react-app,facebook/create-react-app,https://github.com/facebook/create-react-app,Set up a modern web app by running one command.,JavaScript,103467,103467,27080,2378,False,False,2016-07-17T14:55:11Z,2026-04-28T18:32:27Z,2025-02-15T01:32:11Z,main,facebook,Organization,MIT
23083156,MDEwOlJlcG9zaXRvcnkyMzA4MzE1Ng==,material-ui,mui/material-ui,https://github.com/mui/material-ui,Material UI: Comprehensive React component library that implements Google's Material Design. Free forever.,JavaScript,98253,98253,32650,1537,False,False,2014-08-18T19:11:54Z,2026-04-28T18:31:51Z,2026-04-28T15:54:38Z,master,mui,Organization,MIT
311525798,MDEwOlJlcG9zaXRvcnkzMTE1MjU3OTg=,Web-Dev-For-Beginners,microsoft/Web-Dev-For-Beginners,https://github.com/microsoft/Web-Dev-For-Beginners,"24 Lessons, 12 Weeks, Get Started as a Web Developer",JavaScript,95695,95695,15423,48,False,False,2020-11-10T02:44:00Z,2026-04-28T18:13:35Z,2026-04-24T22:07:07Z,main,microsoft,Organization,MIT
74791366,MDEwOlJlcG9zaXRvcnk3NDc5MTM2Ng==,clean-code-javascript,ryanmcdermott/clean-code-javascript,https://github.com/ryanmcdermott/clean-code-javascript,Clean Code concepts adapted for JavaScript,JavaScript,94302,94302,12467,123,False,False,2016-11-25T22:25:41Z,2026-04-28T16:02:19Z,2024-07-29T07:24:37Z,master,ryanmcdermott,User,MIT
74293321,MDEwOlJlcG9zaXRvcnk3NDI5MzMyMQ==,svelte,sveltejs/svelte,https://github.com/sveltejs/svelte,web development for the rest of us,JavaScript,86443,86443,4897,1004,False,False,2016-11-20T18:13:05Z,2026-04-28T16:02:32Z,2026-04-28T09:03:59Z,main,sveltejs,Organization,MIT
382496361,MDEwOlJlcG9zaXRvcnkzODI0OTYzNjE=,uptime-kuma,louislam/uptime-kuma,https://github.com/louislam/uptime-kuma,A fancy self-hosted monitoring tool,JavaScript,86013,86013,7741,729,False,False,2021-07-03T01:02:42Z,2026-04-28T18:26:01Z,2026-04-28T14:42:30Z,master,louislam,User,MIT
278335273,MDEwOlJlcG9zaXRvcnkyNzgzMzUyNzM=,github-readme-stats,anuraghazra/github-readme-stats,https://github.com/anuraghazra/github-readme-stats,:zap: Dynamically generated stats for your github readmes,JavaScript,79190,79190,32660,278,False,False,2020-07-09T10:34:22Z,2026-04-28T16:24:02Z,2026-03-31T00:50:07Z,master,anuraghazra,User,MIT
3470471,MDEwOlJlcG9zaXRvcnkzNDcwNDcx,Font-Awesome,FortAwesome/Font-Awesome,https://github.com/FortAwesome/Font-Awesome,"The iconic SVG, font, and CSS toolkit",JavaScript,76525,76525,12217,324,False,False,2012-02-17T14:19:43Z,2026-04-28T15:33:25Z,2026-02-10T18:21:21Z,7.x,FortAwesome,Organization,NOASSERTION
14747598,MDEwOlJlcG9zaXRvcnkxNDc0NzU5OA==,json-server,typicode/json-server,https://github.com/typicode/json-server,Get a full fake REST API with zero coding in less than 30 seconds (seriously),JavaScript,75575,75575,7286,716,False,False,2013-11-27T13:21:13Z,2026-04-28T18:31:31Z,2026-03-23T19:40:00Z,main,typicode,User,MIT
1861458,MDEwOlJlcG9zaXRvcnkxODYxNDU4,reveal.js,hakimel/reveal.js,https://github.com/hakimel/reveal.js,The HTML Presentation Framework,JavaScript,71085,71085,16805,894,False,False,2011-06-07T18:54:22Z,2026-04-28T16:43:17Z,2026-04-20T12:17:17Z,master,hakimel,User,MIT
237159,MDEwOlJlcG9zaXRvcnkyMzcxNTk=,express,expressjs/express,https://github.com/expressjs/express,"Fast, unopinionated, minimalist web framework for node.",JavaScript,68978,68978,23192,209,False,False,2009-06-26T18:56:01Z,2026-04-28T18:13:26Z,2026-04-23T17:50:10Z,master,expressjs,Organization,MIT
53809090,MDEwOlJlcG9zaXRvcnk1MzgwOTA5MA==,anime,juliangarnier/anime,https://github.com/juliangarnier/anime,JavaScript animation engine,JavaScript,67549,67549,4535,100,False,False,2016-03-13T21:37:45Z,2026-04-28T18:23:13Z,2026-02-13T17:19:34Z,master,juliangarnier,User,MIT
8843683,MDEwOlJlcG9zaXRvcnk4ODQzNjgz,Chart.js,chartjs/Chart.js,https://github.com/chartjs/Chart.js,Simple HTML5 Charts using the <canvas> tag,JavaScript,67397,67397,11953,555,False,False,2013-03-17T23:56:36Z,2026-04-28T18:42:00Z,2026-04-16T11:49:43Z,master,chartjs,Organization,MIT
147350463,MDEwOlJlcG9zaXRvcnkxNDczNTA0NjM=,33-js-concepts,leonardomso/33-js-concepts,https://github.com/leonardomso/33-js-concepts,📜 33 JavaScript concepts every developer should know.,JavaScript,66350,66350,9194,2,False,False,2018-09-04T13:27:04Z,2026-04-28T17:55:05Z,2026-04-12T14:37:20Z,master,leonardomso,User,MIT
3678731,MDEwOlJlcG9zaXRvcnkzNjc4NzMx,webpack,webpack/webpack,https://github.com/webpack/webpack,"A bundler for javascript and friends. Packs many modules into a few bundled assets. Code Splitting allows for loading parts of the application on demand. Through ""loaders"", modules can be CommonJs, AMD, ES6 modules, CSS, Images, JSON, Coffeescript, LESS, ... and your custom stuff.",JavaScript,65782,65782,9361,204,False,False,2012-03-10T10:08:14Z,2026-04-28T18:06:50Z,2026-04-28T19:06:51Z,main,webpack,Organization,MIT
33263118,MDEwOlJlcG9zaXRvcnkzMzI2MzExOA==,uBlock,gorhill/uBlock,https://github.com/gorhill/uBlock,uBlock Origin - An efficient blocker for Chromium and Firefox. Fast and lean.,JavaScript,63697,63697,4059,17,False,False,2015-04-01T17:51:11Z,2026-04-28T19:08:49Z,2026-04-28T14:09:55Z,master,gorhill,User,GPL-3.0
1334369,MDEwOlJlcG9zaXRvcnkxMzM0MzY5,resume.github.com,resume/resume.github.com,https://github.com/resume/resume.github.com,Resumes generated using the GitHub informations,JavaScript,62834,62834,1369,72,False,False,2011-02-06T13:39:55Z,2026-04-28T15:45:39Z,2023-02-15T06:38:51Z,master,resume,Organization,
3955647,MDEwOlJlcG9zaXRvcnkzOTU1NjQ3,lodash,lodash/lodash,https://github.com/lodash/lodash,"A modern JavaScript utility library delivering modularity, performance, & extras.",JavaScript,61260,61260,7152,142,False,False,2012-04-07T04:11:46Z,2026-04-28T18:24:09Z,2026-04-22T18:47:42Z,main,lodash,Organization,NOASSERTION
3228505,MDEwOlJlcG9zaXRvcnkzMjI4NTA1,atom,atom/atom,https://github.com/atom/atom,:atom: The hackable text editor,JavaScript,60837,60837,17238,994,True,False,2012-01-20T18:18:21Z,2026-04-28T18:05:08Z,2023-01-03T10:49:48Z,master,atom,Organization,MIT
92443980,MDEwOlJlcG9zaXRvcnk5MjQ0Mzk4MA==,drawio-desktop,jgraph/drawio-desktop,https://github.com/jgraph/drawio-desktop,Official electron build of draw.io,JavaScript,60755,60755,5660,65,False,False,2017-05-25T20:58:42Z,2026-04-28T16:31:20Z,2026-04-25T06:06:06Z,dev,jgraph,Organization,Apache-2.0
4311796,MDEwOlJlcG9zaXRvcnk0MzExNzk2,markdown-here,adam-p/markdown-here,https://github.com/adam-p/markdown-here,"Google Chrome, Firefox, and Thunderbird extension that lets you write email in Markdown and render it before sending.",JavaScript,60181,60181,11082,319,False,False,2012-05-13T03:27:22Z,2026-04-28T03:13:50Z,2025-08-22T00:21:50Z,master,adam-p,User,MIT
167174,MDEwOlJlcG9zaXRvcnkxNjcxNzQ=,jquery,jquery/jquery,https://github.com/jquery/jquery,jQuery JavaScript Library,JavaScript,59841,59841,20456,89,False,False,2009-04-03T15:20:14Z,2026-04-28T14:40:27Z,2026-04-21T20:35:10Z,main,jquery,Organization,MIT
649170660,R_kgDOJrGO5A,anything-llm,Mintplex-Labs/anything-llm,https://github.com/Mintplex-Labs/anything-llm,The all-in-one AI productivity accelerator. On device and privacy first with no annoying setup or configuration.,JavaScript,59156,59156,6383,343,False,False,2023-06-04T02:29:14Z,2026-04-28T18:45:21Z,2026-04-28T19:04:31Z,master,Mintplex-Labs,Organization,MIT
460078,MDEwOlJlcG9zaXRvcnk0NjAwNzg=,angular.js,angular/angular.js,https://github.com/angular/angular.js,AngularJS - HTML enhanced for web apps!,JavaScript,58693,58693,27152,461,True,False,2010-01-06T00:34:37Z,2026-04-28T13:20:04Z,2024-04-12T17:43:16Z,master,angular,Organization,MIT
1116260703,R_kgDOQojJXw,get-shit-done,gsd-build/get-shit-done,https://github.com/gsd-build/get-shit-done,"A light-weight and powerful meta-prompting, context engineering and spec-driven development system for Claude Code by TÂCHES.",JavaScript,58414,58414,4950,28,False,False,2025-12-14T14:17:12Z,2026-04-28T18:59:47Z,2026-04-28T10:47:23Z,main,gsd-build,Organization,MIT
486550,MDEwOlJlcG9zaXRvcnk0ODY1NTA=,html5-boilerplate,h5bp/html5-boilerplate,https://github.com/h5bp/html5-boilerplate,"A professional front-end template for building fast, robust, and adaptable web apps or sites.",JavaScript,57436,57436,12309,28,False,False,2010-01-24T18:03:24Z,2026-04-28T13:19:21Z,2026-04-27T07:52:16Z,main,h5bp,Organization,MIT
